Drexel ID,Annual Salary,Date of Birth,Full Name,Job Title,Year Started,Employer,Time Reporting Period,Direct Deposit,Electronic W2 Form,Turbo Tax Option
djv23,100500,1/24/1973,David Velinsky,Department Head,1998,Drexel University,semi-monthly,TRUE,TRUE,Included
mkg62,95687,2/10/1980,Mary Katherine Gonder,Department Head,2005,Drexel University,semi-monthly,TRUE,FALSE,Included
jpf26,97870,4/13/1985,Joe Foley,Department Head,2010,Drexel University,biweekly,FALSE,FALSE,Opt Out
rjk72,102350,7/19/1964,Robert Kane,Department Head,1999,Drexel University,semi-monthly,FALSE,TRUE,Opt Out
jrk353,106790,9/2/1976,Roger Kurtz,Department Head,2002,Drexel University,semi-monthly,TRUE,TRUE,Opt Out
rac52,86500,3/14/1989,Rebecca Clothey,Department Head,2009,Drexel University,semi-monthly,FALSE,TRUE,Included
tfs37,97800,5/11/1982,Tiago Saraiva,Department Head,2012,Drexel University,semi-monthly,TRUE,FALSE,Included
bpd36,110500,4/2/1972,Brian Daly,Department Head,2005,Drexel University,semi-monthly,TRUE,TRUE,Included
spw26,98765,11/25/1963,Steven Weber,Department Head,1994,Drexel University,biweekly,FALSE,FALSE,Opt Out
jes53,104876,8/29/1975,Jonathan E. Spanier,Department Head,1998,Drexel University,semi-monthly,FALSE,TRUE,Opt Out
dpr55,99854,4/16/1954,Dan P Rose,Professor,1975,Drexel University,biweekly,False,True,Opt Out
bb118,106032,3/5/1982,Brittany Blair,Professor,2008,Drexel University,biweekly,False,True,Opt Out
cvc34,100592,3/8/1960,Christopher V Cerrone,Professor,1980,Drexel University,biweekly,False,True,Opt Out
mjp84,85299,7/23/1991,Matthew J Parent,Professor,2018,Drexel University,semi-monthly,True,True,Included
dam84,85559,7/1/1968,Dave A Mauriello,Professor,1991,Drexel University,semi-monthly,False,False,Included
ccw848,108880,9/22/1971,craig C Whitaker,Professor,2008,Drexel University,semi-monthly,True,False,Opt Out
ada42,101466,8/21/1981,Alexus D Aiken,Professor,2008,Drexel University,biweekly,True,False,Included
wlm59,112016,11/16/1959,William L Muto,Professor,1991,Drexel University,biweekly,True,True,Included
ej417,85772,2/23/1972,Eli Joteva,Professor,2006,Drexel University,semi-monthly,False,True,Opt Out
apm52,83147,7/23/1956,Alina P Macneal,Professor,1988,Drexel University,biweekly,True,True,Opt Out
dec68,88270,9/10/1960,Daniel E Coslett,Professor,1982,Drexel University,semi-monthly,True,True,Included
kfj72,100363,11/2/1972,Ken F Jacobs,Professor,2001,Drexel University,semi-monthly,False,True,Opt Out
dab367,98040,5/24/1984,David A Beker,Professor,2010,Drexel University,biweekly,False,True,Included
jhj29,85701,7/26/1952,Jennifer Hofer Jeffrey,Professor,1983,Drexel University,biweekly,False,True,Opt Out
ac558,112328,12/27/1961,Amy Cha,Professor,1981,Drexel University,biweekly,False,True,Included
jjs83,91243,2/1/1969,Jacobie J Smith,Professor,2004,Drexel University,biweekly,False,True,Included
ua195,111343,11/7/1959,Ulrike Altenmueller-Lewis,Professor,1992,Drexel University,semi-monthly,True,True,Opt Out
pjs11,112468,5/2/1993,Paul J Salvaggio,Professor,2014,Drexel University,semi-monthly,True,False,Included
ev467,106293,10/3/1971,Eugenia Victoria V Ellis,Professor,2005,Drexel University,semi-monthly,True,False,Included
jnn154,100677,4/27/1968,Jacklynn N Niemiec,Professor,1994,Drexel University,semi-monthly,True,True,Included
mer42,93791,3/15/1960,Mia E Rosensaft,Professor,1987,Drexel University,semi-monthly,False,True,Opt Out
mac58,90116,7/28/1964,Mitchell A Chisholm,Professor,1991,Drexel University,semi-monthly,False,False,Opt Out
