Drexel ID,Annual Salary,Date of Birth,Full Name,Job Title,Year Started,Employer,Time Reporting Period,Direct Deposit,Electronic W2 Form,Turbo Tax Option
dao168,101013,1/5/1981,David Arthur Olson,Adjunct Instructor,2007,Drexel University,semi-monthly,False,False,Opt Out
ijb66,187988,7/17/1982,Irvin James Beals,Program Director,2004,Drexel University,semi-monthly,True,True,Opt Out
gjm96,37284,7/7/1962,Geraldine Julia Makhija,Technician,1985,Drexel University,biweekly,False,True,Included
jah27,35405,4/7/1963,John Alfred Howard,Learning Specialist,1998,Drexel University,biweekly,True,True,Opt Out
jat817,32225,3/7/1965,Jerome Anthony Tippett,Science Librarian,1989,Drexel University,semi-monthly,True,True,Included
bao98,101080,2/13/1985,Barbara Amy Owen,Adjunct Instructor,2010,Drexel University,biweekly,True,False,Opt Out
jea165,97107,1/20/1987,Jeff Erin Avila,Research Manager,2009,Drexel University,biweekly,True,True,Included
jcw44,108617,3/17/1985,Jeromy Clarence Ward,Finance Coordinator,2006,Drexel University,semi-monthly,False,False,Opt Out
tgh25,62426,12/18/1953,Thomas Gabriel Holland,Psychologist,1973,Drexel University,semi-monthly,False,True,Included
lkj61,71031,4/6/1989,Linda Kimberly Johnson,Talent Acquistion Consultant,2009,Drexel University,semi-monthly,True,True,Opt Out
mjc70,42722,7/1/1972,Matthew John Castro,Receptionist/Scheduler,2006,Drexel University,semi-monthly,True,True,Opt Out
msh33,73563,2/22/1992,Mary Shelly Hart,Talent Acquistion Consultant,2012,Drexel University,biweekly,True,False,Included
sjk83,100716,6/14/1995,Stephen Joshua Kittelberger,Senior Advisor,2016,Drexel University,biweekly,True,True,Opt Out
ars514,68296,6/11/1960,Angela Ruth Sherman,Assistant Professor,1998,Drexel University,biweekly,False,False,Opt Out
ndv51,31387,2/14/1953,Nancy Dora Vaughn,Science Librarian,1990,Drexel University,semi-monthly,True,True,Included
wjf85,48095,1/18/1989,William James Fisher,Event Services Specialist,2011,Drexel University,semi-monthly,True,False,Opt Out
rpy16,37297,11/25/1978,Roger Paul Yeager,Reference Librarian,2002,Drexel University,biweekly,False,False,Opt Out
kdl20,63788,7/10/1953,Kevin David Lane,Administrative Coordinator,1991,Drexel University,biweekly,False,True,Opt Out
lcm65,91920,8/21/1973,Lavonia Cathy Murphy,Finance Coordinator,2001,Drexel University,semi-monthly,True,True,Opt Out
fws53,43797,6/7/1969,Fernando Wesley Snyder,Learning Specialist,2000,Drexel University,semi-monthly,True,True,Opt Out
wds69,59327,2/7/1994,Woodrow Douglas Santomauro,Software Engineer,2014,Drexel University,semi-monthly,False,False,Opt Out
csf80,99472,6/15/1963,Carly Susan Farney,Payroll Administrator,2003,Drexel University,biweekly,True,False,Opt Out
tgm475,106548,9/6/1980,Thomas Gregorio Martinez,Adjunct Instructor,2020,Drexel University,semi-monthly,True,False,Opt Out
kjb75,104597,7/10/1991,Kathrine Jeannette Barela,Payroll Administrator,2015,Drexel University,biweekly,False,True,Opt Out
ekj441,96519,4/24/1976,Eva Kristine Jeffrey,Research Manager,2011,Drexel University,biweekly,True,False,Opt Out
srb53,71665,7/27/1980,Steven Robert Blackmon,Psychologist,2020,Drexel University,semi-monthly,True,True,Opt Out
prh60,55952,6/19/1957,Paula Rosalie Huard,Research Coordinator,1977,Drexel University,biweekly,False,False,Opt Out
cjs57,86739,7/28/1965,Colleen Juanita Stewart,Research Professor,1992,Drexel University,biweekly,True,False,Included
jrb88,100162,6/15/1977,Jeffrey Richard Butler,Clinician,2017,Drexel University,biweekly,True,False,Included
dth47,65633,10/2/1963,David Tyrone Hamilton,Talent Acquistion Consultant,2002,Drexel University,semi-monthly,True,False,Included
lsg30,107669,5/9/1977,Loria Sharyn Gooch,Adjunct Instructor,2009,Drexel University,biweekly,True,False,Included
asv15,112550,12/3/1972,Andrew Stephen Vanderploeg,Payroll Administrator,2011,Drexel University,biweekly,False,False,Included
wrf99,84097,5/23/1977,Walter Rupert Faunce,Clinician,2000,Drexel University,semi-monthly,False,False,Opt Out
gac45,59352,10/15/1992,Gloria Alicia Calo,Human Resources,2016,Drexel University,biweekly,True,False,Opt Out
mpr69,69962,8/22/1971,Mary Patti Rinderer,Accountant,1995,Drexel University,semi-monthly,False,True,Included
cnh77,93614,4/13/1987,Charlie Neal Harris,Payroll Administrator,2008,Drexel University,semi-monthly,True,True,Opt Out
rdw97,55593,2/2/1981,Ronald Douglas Woods,Financial Aid Officer,2001,Drexel University,biweekly,True,True,Opt Out
jms63,66674,2/17/1986,Juan Matthew Stevenson,Systems Analyst,2011,Drexel University,semi-monthly,True,False,Included
nbl88,102550,6/9/1965,Noriko Brenda Little,Adjunct Instructor,1987,Drexel University,biweekly,False,False,Included
hjm27,36532,4/11/1966,Howard James Medlock,Reference Librarian,1997,Drexel University,biweekly,False,True,Included
lbc60,108136,12/15/1979,Lizzie Betty Clark,Program Coordinator,2001,Drexel University,biweekly,False,True,Included
apd78,86705,11/23/1992,Alicia Paula Drake,Research Professor,2019,Drexel University,biweekly,True,True,Included
cvc16,85955,3/12/1959,Cathleen Virginia Cook,Senior Advisor,1996,Drexel University,biweekly,False,False,Included
hwg37,94379,2/3/1986,Harry William Green,Finance Coordinator,2011,Drexel University,semi-monthly,True,True,Opt Out
emb31,54051,3/3/1985,Eric Michael Berends,Academic Advisor,2009,Drexel University,semi-monthly,True,True,Included
mtb357,83302,3/1/1962,Mohammad Timothy Blay,Adjunct Instructor,2002,Drexel University,biweekly,True,True,Opt Out
vzh58,105703,5/6/1982,Virgil Zachary Hough,Research Manager,2007,Drexel University,biweekly,True,False,Included
wcl806,45126,8/5/1956,William Christopher Lund,Public Safety Officer,1995,Drexel University,biweekly,False,False,Opt Out
rtr856,45327,5/17/1954,Rosemary Tiesha Rosenfeld,Technician,1985,Drexel University,semi-monthly,False,False,Opt Out
wbk45,38741,11/8/1959,William Bill Kennard,Reference Librarian,1995,Drexel University,semi-monthly,False,True,Included
jjc81,41482,12/3/1981,John Jon Cervantes,Event Services Specialist,2001,Drexel University,semi-monthly,True,False,Included
raw60,101203,6/19/1962,Ramon Alvin Witherspoon,Research Manager,2001,Drexel University,semi-monthly,False,True,Included
maw731,102545,8/14/1977,Marcella Annette Wilson,Program Coordinator,2007,Drexel University,biweekly,True,False,Included
edm29,37171,2/24/1955,Edmund David Moore,Technician,1984,Drexel University,semi-monthly,True,False,Opt Out
bas14,57783,8/1/1971,Bill Anthony Spencer,Drexel Central Coordinator,1997,Drexel University,semi-monthly,False,False,Opt Out
dab18,96852,5/24/1970,Donald Adam Blanco,Senior Advisor,1998,Drexel University,biweekly,False,False,Included
gbf38,47095,11/18/1992,Gabriella Beatrice Fleming,Science Librarian,2012,Drexel University,biweekly,True,True,Included
ltm11,66715,5/11/1961,Lisa Tanya Morales,Human Resources,1990,Drexel University,biweekly,True,False,Opt Out
tgp67,108143,12/9/1963,Todd Gabriel Prillaman,Senior Advisor,1986,Drexel University,biweekly,False,False,Included
lma542,70610,8/26/1989,Lisa Mary Anguiano,Psychologist,2011,Drexel University,semi-monthly,True,False,Opt Out
fsh18,37795,7/22/1966,Forest Samuel Hatfield,Public Safety Officer,2005,Drexel University,biweekly,False,True,Included
rns749,27412,7/19/1963,Robert Norman Shadle,Learning Specialist,1985,Drexel University,biweekly,False,False,Opt Out
ald88,87384,4/25/1977,Andrea Louise Dean,Research Manager,2006,Drexel University,biweekly,False,False,Included
pdl68,56814,7/13/1987,Patrick Daniel Lewis,Assistant Professor,2012,Drexel University,semi-monthly,True,True,Included
ack61,34176,5/8/1965,Alicia Carolyn Kirk,Technician,1994,Drexel University,biweekly,False,False,Included
wpg16,63549,4/21/1985,William Patrick Green,Talent Acquistion Consultant,2009,Drexel University,biweekly,False,False,Opt Out
cep16,94782,6/6/1971,Carl Edwin Payne,Research Professor,1995,Drexel University,biweekly,True,True,Opt Out
djm54,95867,12/9/1968,Dean Julian Mcdonald,Adjunct Instructor,2008,Drexel University,semi-monthly,False,True,Included
fms58,107247,7/19/1965,Frank Matthew Spires,Adjunct Instructor,1985,Drexel University,biweekly,True,True,Included
rmg58,54624,5/25/1964,Roger Mitchell Glassman,Drexel Central Coordinator,2000,Drexel University,biweekly,True,True,Opt Out
btm92,110493,4/5/1981,Brett Thomas May,Program Coordinator,2003,Drexel University,biweekly,False,False,Opt Out
jim85,86164,4/15/1972,Joan Irene Meinhart,Dean,1994,Drexel University,semi-monthly,False,True,Opt Out
rcl57,64902,7/7/1995,Robert Charles Lorona,Psychologist,2016,Drexel University,semi-monthly,True,True,Included
mat66,65982,5/10/1963,Maurice Allan Trail,Software Engineer,1989,Drexel University,biweekly,False,False,Opt Out
whm663,89847,12/5/1983,William Herbert Monaghan,Payroll Administrator,2004,Drexel University,biweekly,False,False,Opt Out
mgk37,61787,3/2/1970,Mary Gina Krane,Drexel Central Coordinator,1992,Drexel University,semi-monthly,False,False,Included
pwb23,103322,9/28/1964,Phillip Wendell Burns,Payroll Administrator,2000,Drexel University,biweekly,True,True,Opt Out
lpa75,27489,9/13/1952,Lisa Patricia Aguilar,Event Services Specialist,1978,Drexel University,semi-monthly,False,True,Included
tcw304,88481,10/25/1995,Tammie Christy Walczak,Adjunct Instructor,2016,Drexel University,biweekly,True,True,Opt Out
cks945,86395,5/16/1978,Catherine Kathryn Stacey,Research Manager,2010,Drexel University,biweekly,False,True,Opt Out
pph67,112470,7/18/1967,Patricia Patsy Hensley,Professor,1998,Drexel University,biweekly,True,False,Opt Out
lsd92,82780,2/26/1989,Linda Sharon Dyess,Research Manager,2016,Drexel University,semi-monthly,False,True,Included
laj31,36743,4/8/1994,Louise Anne Johnson,Janitor,2015,Drexel University,semi-monthly,False,True,Opt Out
sbj773,158373,7/9/1975,Samuel Brad Jubilee,Executive Director,2000,Drexel University,biweekly,True,False,Opt Out
bsc49,87626,2/10/1968,Brenda Susan Childs,Program Coordinator,2007,Drexel University,semi-monthly,False,True,Opt Out
yas244,53929,9/4/1988,Yvonne Aura Schmid,Systems Analyst,2015,Drexel University,biweekly,True,True,Included
