Drexel ID,Last Name,First Name,Middle Name,Date of Birth,Chosen Name,Personal Pronouns,Email,Department,Gender,Marital Status,Ethnicity,Race,Living Address,Mailing Address,Phone Number,Role
crc40,Clark,Christopher,Robert,11/8/1965,Christopher,He/Him/His,crc40@drexel.edu,,M,Divorced,Hispanic or Latino,Other,4253 San Juan Avenue,4253 San Juan Avenue,264-117-2292,Technician
ceb93,Buller,Carolyn,Ethel,6/9/1974,Carolyn,She/Her/Hers,ceb93@drexel.edu,,F,Seperated,Non Hispanic,Native,18687 County Road 97,18687 County Road 97,751-189-4143,Assistant Professor
pgl26,Lopez,Particia,Gabriella,12/8/1958,Particia,She/Her/Hers,pgl26@drexel.edu,,F,Widow,Hispanic or Latino,Asian,2902 Flint Street,894 Windmill Park Lane,560-614-8261,Science Librarian
dkm75,Mills,Doris,Kimberly,2/13/1975,Doris,She/Her/Hers,dkm75@drexel.edu,,F,Single,Non Hispanic,Native,1772 150th Avenue,1772 150th Avenue,830-858-7371,Drexel Central Coordinator
jmw50,Walker,John,Maximo,10/1/1957,John,He/Him/His,jmw50@drexel.edu,,M,Seperated,Non Hispanic,Asian,22062 Cameron Street,22062 Cameron Street,395-981-8371,Talent Acquistion Consultant
jjw74,Wooldridge,Joannie,Janice,11/6/1986,Joannie,She/Her/Hers,jjw74@drexel.edu,,F,Seperated,Non Hispanic,African American/Black,1 Portsmouth Road,1 Portsmouth Road,376-727-8603,Software Engineer
fbb33,Bondurant,Frances,Barbara,12/10/1973,Frances,She/Her/Hers,fbb33@drexel.edu,,F,Seperated,Non Hispanic,African American/Black,37122 Contra Costa Avenue,37122 Contra Costa Avenue,376-398-5187,Accountant
lee78,Edwards,Leroy,Earl,10/18/1953,Leroy,He/Him/His,lee78@drexel.edu,,M,Widow,Non Hispanic,Native,461 Alder Street,461 Alder Street,687-521-6475,Academic Advisor
aas25,Smart,Angelo,Arturo,11/7/1960,Angelo,He/Him/His,aas25@drexel.edu,,M,Single,Non Hispanic,Native,2522 Fountain Avenue,622 Thomas Street,532-801-4015,Receptionist/Scheduler
kkb18,Bowen,Kelly,Kay,6/15/1993,Kelly,She/Her/Hers,kkb18@drexel.edu,,F,Seperated,Hispanic or Latino,African American/Black,849 East Victoria Street,4936 Sequoia Avenue,943-162-8579,Human Resources
gdb997,Beck,Gary,David,9/21/1990,Gary,He/Him/His,gdb997@drexel.edu,,M,Single,Non Hispanic,African American/Black,369 Ruth Avenue,369 Ruth Avenue,720-254-6183,Psychologist
wer668,Rodriguez,William,Eugene,3/17/1961,William,He/Him/His,wer668@drexel.edu,,M,Divorced,Hispanic or Latino,White,145 Grau Drive,954 Dowler Drive,820-945-3181,Academic Advisor
amk17,Ketterman,Albert,Mike,9/7/1950,Albert,He/Him/His,amk17@drexel.edu,,M,Married,Hispanic or Latino,White,55620 Jolon Road,55620 Jolon Road,800-641-5610,Executive Director
wrs86,Smith,Whitney,Ruth,12/28/1982,Whitney,She/Her/Hers,wrs86@drexel.edu,,F,Divorced,Non Hispanic,African American/Black,18687 County Road 97,840 Inglewood Drive,723-827-6948,Psychologist
nln81,Noll,Nancy,Leticia,7/2/1965,Nancy,She/Her/Hers,nln81@drexel.edu,,F,Widow,Non Hispanic,Other,7144 Marlborough Terrace,260 Rio Del Mar Boulevard,980-619-7287,Accountant
lgr82,Rosenbaum,Luz,Gladys,9/25/1964,Luz,She/Her/Hers,lgr82@drexel.edu,,F,Married,Non Hispanic,White,612 E Street,612 E Street,406-260-2585,Public Safety Officer
mhh80,Hoffman,Mark,Henry,9/6/1984,Mark,He/Him/His,mhh80@drexel.edu,,M,Married,Non Hispanic,Asian,2750 Gilmore Lane,2750 Gilmore Lane,214-322-9406,Talent Acquistion Consultant
hch23,Hawks,Helen,Cynthia,11/16/1970,Helen,She/Her/Hers,hch23@drexel.edu,,F,Married,Hispanic or Latino,African American/Black,33300 Mission Boulevard,37675 Fremont Boulevard,831-527-9445,Public Safety Officer
hwv63,Vanner,Harold,Warren,12/15/1967,Harold,He/Him/His,hwv63@drexel.edu,,M,Widow,Non Hispanic,Other,5725 Medallion Court,5725 Medallion Court,466-617-9437,Receptionist/Scheduler
ktb51,Branchaud,Kelvin,Thomas,6/19/1952,Kelvin,He/Him/His,ktb51@drexel.edu,,M,Married,Non Hispanic,White,30544 Whitmore Road,30544 Whitmore Road,551-382-5257,Reference Librarian
mrk88,Kleiman,Miguel,Robert,4/2/1951,Miguel,He/Him/His,mrk88@drexel.edu,,M,Seperated,Non Hispanic,African American/Black,2640 8th Avenue,47634 Kato Road,707-895-7650,Psychologist
dtg36,Gilkey,Danielle,Thelma,11/21/1981,Danielle,She/Her/Hers,dtg36@drexel.edu,,F,Divorced,Non Hispanic,Other,4540 Phyllis Court,2348 Cantalise Drive,248-219-8140,Executive Director
bfa92,Austin,Bruce,Francis,7/7/1973,Bruce,He/Him/His,bfa92@drexel.edu,,M,Single,Non Hispanic,Native,35805 Alcazar Court,1300 Lemos Lane,865-523-2099,Administrative Coordinator
mjh62,Holsinger,Mellissa,Jina,8/22/1979,Mellissa,She/Her/Hers,mjh62@drexel.edu,,F,Single,Non Hispanic,African American/Black,1108 Slater Street,30451 Servilla Place,332-996-1812,Event Services Specialist
afw659,Woodward,Ann,Frankie,7/7/1972,Ann,She/Her/Hers,afw659@drexel.edu,,F,Divorced,Non Hispanic,African American/Black,19 Heritage,6420 Via Baron,203-125-7089,Human Resources
bds19,Shackett,Brian,Douglas,7/5/1954,Brian,He/Him/His,bds19@drexel.edu,,M,Single,Non Hispanic,Native,1061 Sumatra Street,1061 Sumatra Street,970-701-9872,Systems Analyst
mrl65,Luong,Martha,Ruth,8/24/1973,Martha,She/Her/Hers,mrl65@drexel.edu,,F,Widow,Non Hispanic,Native,654 Laurette Place,1481 Stannage Avenue,964-872-1630,Drexel Central Coordinator
bmn80,Newton,Barry,Marshall,9/7/1976,Barry,He/Him/His,bmn80@drexel.edu,,M,Single,Non Hispanic,Native,3835 Oakes Drive,3835 Oakes Drive,642-654-3791,Software Engineer
cjh10,Herrera,Christopher,Joseph,5/14/1983,Christopher,He/Him/His,cjh10@drexel.edu,,M,Divorced,Non Hispanic,White,11522 Country Spring Court,11522 Country Spring Court,309-944-7655,Janitor
cbh13,Harris,Colleen,Blanca,1/2/1976,Colleen,She/Her/Hers,cbh13@drexel.edu,,F,Single,Hispanic or Latino,White,894 Windmill Park Lane,43949 South Moray Street,906-623-5626,Drexel Central Coordinator
jiw48,Westin,Joe,Ismael,2/13/1985,Joe,He/Him/His,jiw48@drexel.edu,,M,Divorced,Hispanic or Latino,Other,465 Humboldt Way,465 Humboldt Way,889-888-9048,Psychologist
sgd96,Dean,Steven,Gregory,2/7/1971,Steven,He/Him/His,sgd96@drexel.edu,,M,Divorced,Non Hispanic,Other,894 Windmill Park Lane,894 Windmill Park Lane,842-378-1180,Learning Specialist
tmh20,Herreras,Tameka,Mary,7/28/1977,Tameka,She/Her/Hers,tmh20@drexel.edu,,F,Seperated,Non Hispanic,Other,2414 Parker Street,2414 Parker Street,686-476-8748,Science Librarian
jks56,Seeholzer,Jessica,Kristy,9/13/1993,Jessica,She/Her/Hers,jks56@drexel.edu,,F,Married,Non Hispanic,White,514 Flower Lane,1772 150th Avenue,277-770-3045,Deputy Director
jkb54,Blanco,Julie,Kelli,12/18/1981,Julie,She/Her/Hers,jkb54@drexel.edu,,F,Seperated,Non Hispanic,White,10826 Pointe Royal Drive,10826 Pointe Royal Drive,392-171-8282,Designer
jjp442,Pierro,Jeffrey,John,2/28/1974,Jeffrey,He/Him/His,jjp442@drexel.edu,,M,Divorced,Non Hispanic,African American/Black,4329 Howe Street,2747 68th Avenue,525-947-9784,Drexel Central Coordinator
