Drexel ID,First Name,Middle Name,Last Name,Date of Birth,Email,Chosen Name,Gender,Expected Graduation Year,Student Program Type,Phone,Home Address
fls61,Felix,Linwood,Smith,10/12/2003,fls61@drexel.edu,Felix,M,2027,Undergraduate,935-414-8192,4500 Margalo Avenue
jor21,Jeffery,Orlando,Rondon,9/10/2001,jor21@drexel.edu,Jeffery,M,2025,Undergraduate,736-486-6392,35805 Alcazar Court
jkc97,John,Keith,Cradle,11/20/2001,jkc97@drexel.edu,John,M,2025,Graduate,651-483-9042,618 Staley Avenue
svv43,Susan,Vada,Villagomez,3/24/2001,svv43@drexel.edu,Susan,F,2025,Graduate,671-852-2161,51035 Conifer Drive
shh79,Sallie,Helen,Hart,2/1/1996,shh79@drexel.edu,Sallie,F,2023,Undergraduate,641-874-7244,3301 Arch Street
vsh766,Valerie,Sara,Hernandez,8/22/2000,vsh766@drexel.edu,Valerie,F,2024,Graduate,831-463-7235,101 N 34th Street
cwt24,Christie,Wendy,Tuley,4/3/2001,cwt24@drexel.edu,Christie,F,2025,Undergraduate,456-700-1250,3301 Race Street
bhf685,Bryan,Harry,Friedman,10/17/2003,bhf685@drexel.edu,Bryan,M,2023,Undergraduate,455-137-5150,3200 Chestnut Street
eow91,Emely,Olive,Wales,4/2/2002,eow91@drexel.edu,Emely,F,2026,Undergraduate,329-148-6495,203 N. 34th Street
dml45,Daniel,Mark,Lant,1/2/2001,dml45@drexel.edu,Daniel,M,2025,Undergraduate,483-437-3218,3320 Powelton Avenue
dmp73,Diane,Mary,Pokorny,1/12/2003,dmp73@drexel.edu,Diane,F,2027,Graduate,638-412-4311,223 N. 34th Street
dcr60,Daisy,Carolyn,Rieke,11/20/2002,dcr60@drexel.edu,Daisy,F,2026,Graduate,776-997-6802,439 Crestmont Drive
jsm67,John,Stephen,Miller,7/20/2001,jsm67@drexel.edu,John,M,2023,Graduate,240-910-5084,3320 Powelton Avenue
mak28,Michael,Anthony,Katz,12/22/2002,mak28@drexel.edu,Michael,M,2026,Undergraduate,663-343-6444,3320 Powelton Avenue
gls653,Gay,Laurie,Stater,10/22/2000,gls653@drexel.edu,Gay,F,2024,Undergraduate,881-470-4359,115 N. 32nd Street
mmd92,Mark,Mark,Dallaire,3/13/2004,mmd92@drexel.edu,Mark,M,2024,Undergraduate,722-198-2032,3320 Powelton Avenue
lbm63,Lillian,Bertha,Mchale,8/6/2002,lbm63@drexel.edu,Lillian,F,2026,Undergraduate,619-411-9435,5410 McLean Drive
jmb41,Jan,Megan,Bratcher,12/26/2001,jmb41@drexel.edu,Jan,F,2025,Graduate,402-325-7862,203 N. 34th Street
mhw64,Michele,Henrietta,Woods,11/12/2000,mhw64@drexel.edu,Michele,F,2024,Undergraduate,386-322-1946,680 Quintana Road
ayb55,Alice,Yvonne,Brazil,6/20/2003,ayb55@drexel.edu,Alice,F,2027,Undergraduate,913-311-3743,1300 Lemos Lane
rlt23,Richard,Lawrence,Turner,4/13/2000,rlt23@drexel.edu,Richard,M,2024,Graduate,708-813-5536,115 N. 32nd Street
ral33,Rebecca,Andrea,Landry,12/13/2003,ral33@drexel.edu,Rebecca,F,2027,Undergraduate,368-191-8035,3320 Powelton Avenue
jje60,Juan,James,Edwards,7/26/2002,jje60@drexel.edu,Juan,M,2026,Graduate,967-593-3290,1732 27th Avenue
ljc17,Lawrence,John,Charles,10/15/2003,ljc17@drexel.edu,Lawrence,M,2027,Graduate,239-614-2878,266 South J Street
bsc45,Boyd,Shawn,Cappello,3/26/2004,bsc45@drexel.edu,Boyd,M,2027,Graduate,555-527-1952,223 N. 34th Street
llb24,Lorraine,Lucia,Boynton,9/6/2004,llb24@drexel.edu,Lorraine,F,2027,Graduate,254-471-4677,560 Penstock Drive
rcb95,Richard,Christopher,Bachman,10/21/1999,rcb95@drexel.edu,Richard,M,2025,Undergraduate,955-305-6379,266 South J Street
mjb567,Marlene,Jessica,Buchanan,3/5/1999,mjb567@drexel.edu,Marlene,F,2023,Undergraduate,436-454-7941,1222 Arcade Boulevard
jrb32,James,Ricky,Bischoff,10/16/2003,jrb32@drexel.edu,James,M,2027,Undergraduate,443-307-6328,6716 South Mariposa Lane
mss78,Mary,Sallie,Smith,7/18/2003,mss78@drexel.edu,Mary,F,2027,Graduate,272-889-5162,101 N 34th Street
rdw80,Raymond,Dennis,Wright,5/8/2004,rdw80@drexel.edu,Raymond,M,2027,Graduate,619-380-7136,1761 Thousand Oaks Boulevard
cks72,Claire,Kathaleen,Stone,4/18/2002,cks72@drexel.edu,Claire,F,2025,Undergraduate,632-843-9549,5397 Wentworth Avenue
jcm61,Julie,Carrie,Monk,2/6/1999,jcm61@drexel.edu,Julie,F,2023,Undergraduate,505-191-4509,115 N. 32nd Street
jbm95,Jessie,Bonnie,Mcmahon,9/25/1999,jbm95@drexel.edu,Jessie,F,2023,Undergraduate,288-784-4108,3400 Lancaster Avenue
pmd84,Peter,Michael,Donley,1/9/1999,pmd84@drexel.edu,Peter,M,2023,Undergraduate,232-572-1126,2902 Flint Street
mkh84,Mary,Karin,Horton,1/16/2001,mkh84@drexel.edu,Mary,F,2027,Graduate,860-763-6108,2531 Prestwick Avenue
rdc94,Richard,David,Cline,9/1/2003,rdc94@drexel.edu,Richard,M,2027,Undergraduate,589-916-2522,2443 Sierra Nevada Road
jrl95,James,Raymond,Littell,8/21/2004,jrl95@drexel.edu,James,M,2027,Graduate,471-301-8664,3400 Lancaster Avenue
jns63,Joslyn,Nicole,Slagle,5/21/2000,jns63@drexel.edu,Joslyn,F,2024,Undergraduate,806-449-6516,3400 Lancaster Avenue
jwj36,James,Willard,Jones,9/10/2000,jwj36@drexel.edu,James,M,2024,Undergraduate,612-345-5777,2500 Medallion Drive
ljo93,Laura,Jennifer,Ownbey,10/18/1999,ljo93@drexel.edu,Laura,F,2023,Graduate,701-616-3868,3301 Arch Street
cgh59,Charles,Gregory,Huang,9/11/2002,cgh59@drexel.edu,Charles,M,2026,Graduate,908-900-4603,260 Rio Del Mar Boulevard
aal38,Amy,Amanda,Ley,1/4/2003,aal38@drexel.edu,Amy,F,2027,Graduate,232-311-1438,33655 5th Street
jmn84,Jeremy,Michael,Negbenebor,8/21/2001,jmn84@drexel.edu,Jeremy,M,2025,Graduate,598-352-3274,9036 Calico Court
kmc78,Kelly,Maria,Cilek,10/3/2004,kmc78@drexel.edu,Kelly,F,2025,Graduate,867-212-1276,1780 142nd Avenue
fkj26,Frances,Kari,Jennings,4/11/2001,fkj26@drexel.edu,Frances,F,2025,Graduate,765-914-8920,1106 Mission Drive
jmh22,Joseph,Marvin,Heath,7/28/2003,jmh22@drexel.edu,Joseph,M,2027,Graduate,705-799-3123,3200 Chestnut Street
prl87,Peter,Richard,Lewis,4/11/2003,prl87@drexel.edu,Peter,M,2027,Graduate,601-167-2726,115 N. 32nd Street
pke17,Pamela,Kristin,Elliott,5/19/2002,pke17@drexel.edu,Pamela,F,2026,Graduate,899-237-3957,42223 Edgewood Street
jda491,James,David,Alberts,10/17/2000,jda491@drexel.edu,James,M,2024,Undergraduate,583-628-5135,101 N 34th Street
