Drexel ID,Annual Salary,Date of Birth,Full Name,Job Title,Year Started,Employer,Time Reporting Period,Direct Deposit,Electronic W2 Form,Turbo Tax Option
djv23,100500,1/24/1973,David Velinsky,Department Head,1998,Drexel University,semi-monthly,TRUE,TRUE,Included
mkg62,95687,2/10/1980,Mary Katherine Gonder,Department Head,2005,Drexel University,semi-monthly,TRUE,FALSE,Included
jpf26,97870,4/13/1985,Joe Foley,Department Head,2010,Drexel University,biweekly,FALSE,FALSE,Opt Out
rjk72,102350,7/19/1964,Robert Kane,Department Head,1999,Drexel University,semi-monthly,FALSE,TRUE,Opt Out
jrk353,106790,9/2/1976,Roger Kurtz,Department Head,2002,Drexel University,semi-monthly,TRUE,TRUE,Opt Out
rac52,86500,3/14/1989,Rebecca Clothey,Department Head,2009,Drexel University,semi-monthly,FALSE,TRUE,Included
tfs37,97800,5/11/1982,Tiago Saraiva,Department Head,2012,Drexel University,semi-monthly,TRUE,FALSE,Included
bpd36,110500,4/2/1972,Brian Daly,Department Head,2005,Drexel University,semi-monthly,TRUE,TRUE,Included
spw26,98765,11/25/1963,Steven Weber,Department Head,1994,Drexel University,biweekly,FALSE,FALSE,Opt Out
jes53,104876,8/29/1975,Jonathan E. Spanier,Department Head,1998,Drexel University,semi-monthly,FALSE,TRUE,Opt Out
dsb93,130600,6/15/1951,David S. Brown,Dean,2022,Drexel University,semi-monthly,FALSE,TRUE,Opt Out
yd362,150800,2/20/1950,Yi Deng,Dean,2016,Drexel University,semi-monthly,TRUE,TRUE,Opt Out
yd362,141000,2/20/1950,Laura N. Gitlin,Dean,2018,Drexel University,semi-monthly,TRUE,FALSE,Included
slw384,139560,4/21/1960,Sharon L. Walker,Dean,2014,Drexel University,semi-monthly,FALSE,FALSE,Included
vm238,145790,12/4/1954,Vibhas Madan,Dean,2013,Drexel University,semi-monthly,TRUE,TRUE,Opt Out
cbc39,138460,10/18/1972,Charles B. Cairns,Dean,2019,Drexel University,semi-monthly,FALSE,TRUE,Included
jss422,129220,6/24/1978,Jason Schupbach,Dean,2020,Drexel University,semi-monthly,FALSE,FALSE,Included
pmc49,145000,7/30/1953,Paula Marantz Cohen,Dean,2012,Drexel University,semi-monthly,TRUE,FALSE,Opt Out
dmd33,155000,8/29/1955,Donna de Carolis,Dean,2015,Drexel University,semi-monthly,TRUE,FALSE,Opt Out
avd37,145000,6/1/1964,Ana V. Diez Roux,Dean,2009,Drexel University,semi-monthly,TRUE,FALSE,Opt Out
dmf24,133290,5/10/1958,Daniel M. Filler,Dean,2017,Drexel University,semi-monthly,TRUE,TRUE,Included
dpr83,104602,4/21/1978,Dan P Rose,Professor,2016,Drexel University,biweekly,True,True,Included
bb401,84717,3/16/1992,Brittany Blair,Professor,2018,Drexel University,biweekly,True,False,Opt Out
cvc136,106350,3/3/1972,Christopher V Cerrone,Professor,2011,Drexel University,semi-monthly,False,False,Opt Out
mjp24,86684,8/3/1957,Matthew J Parent,Professor,1977,Drexel University,biweekly,True,True,Included
dam74,88371,9/10/1963,Dave A Mauriello,Professor,1983,Drexel University,biweekly,True,False,Opt Out
ccw11,82444,1/28/1987,craig C Whitaker,Professor,2011,Drexel University,biweekly,True,True,Included
ada913,109723,12/5/1965,Alexus D Aiken,Professor,2005,Drexel University,semi-monthly,True,False,Opt Out
wlm35,104317,9/11/1964,William L Muto,Professor,1988,Drexel University,semi-monthly,True,False,Opt Out
ej198,112465,11/2/1953,Eli Joteva,Professor,1993,Drexel University,semi-monthly,False,False,Opt Out
apm48,101473,9/17/1988,Alina P Macneal,Professor,2014,Drexel University,biweekly,False,True,Included
