Drexel ID,Last Name,First Name,Middle Name,Date of Birth,Chosen Name,Personal Pronouns,Email,Department,Gender,Marital Status,Ethnicity,Race,Living Address,Mailing Address,Phone Number,Role
djv23,Velinsky,David,,1/24/1973,David,He/Him/His,djv23@drexel.edu,"Biodiversity, Earth & Environmental Science",M,Single,Non Hispanic,White,123 Main St,123 Main St,215-571-4651,Department Head
mkg62,Gonder,Mary,Katherine,2/10/1980,Mary,She/Her/Hers,mkg62@drexel.edu,Biology,F,Married,Non Hispanic,White,868 Lookout Street,868 Lookout Street,215-895-2788,Department Head
jpf26,Foley,Joe,,4/13/1985,Joe,He/Him/His,jpf262@drexel.edu,Chemistry,M,Divorced,Non Hispanic,White,64 San Juan Street,360 Mayfield Lane,215-895-2639,Department Head
rjk72,Kane,Robert,,7/19/1964,Robert,He/Him/His,rjk72@drexel.edu,Criminology & Justice Studies,M,Married,Non Hispanic,Other,992 Church Lane,992 Church Lane,215-571-4628,Department Head
jrk353,Kurtz,Roger,,9/2/1976,Roger,He/Him/His,jrk353@drexel.edu,English & Philosophy,M,Single,Non Hispanic,Native,36 Pearl Road,36 Pearl Road,215-895-6911,Department Head
rac52,Clothey,Rebecca,,3/14/1989,Rebecca,She/Her/Hers,rac52@drexel.edu,Global Studies and Modern Languages,F,Married,Hispanic or Latino,White,81 Windfall Street,81 Windfall Street,215-895-1208,Department Head
tfs37,Saraiva,Tiago,,5/11/1982,Tiago,He/Him/His,tfs37@drexel.edu,History,M,Seperated,Hispanic or Latino,White,850 South Peninsula Street,8344 Lawrence Drive,	215-895-2463,Department Head
bpd36,Daly,Brian,,4/2/1972,Brian,He/Him/His,bpd36@drexel.edu,Psychological and Brain Sciences,M,Single,Hispanic or Latino,White,222 Harvey Lane,222 Harvey Lane,215-895-1895,Department Head
spw26,Weber,Steven,,11/25/1963,Steven,He/Him/His,spw26@drexel.edu,Electrical and Computer Engineering,M,Married,Non Hispanic,Other,7118 Rockwell Street,7118 Rockwell Street,215-895-2241,Department Head
jes53,Spanier,Jonathan,E.,8/29/1975,Jonathan,He/Him/His,jes53@drexel.edu,Mechanical Engineering and Mechanics,M,Married,Non Hispanic,White,7013 Arrowhead Street,12 Hilltop Drive,215-895-2352,Department Head
dsb93,Brown,David,S.,6/15/1951,David,He/Him/His,dsb93@drexel.edu,Not Applicable,M,Married,Non Hispanic,White,367 Trace Street,367 Trace Street,215-895-1891,Dean
yd362,Deng,Yi,,2/20/1950,Yi,He/Him/His,yd362@drexel.edu,Not Applicable,M,Married,Non Hispanic,Asian,4560 Pratt Street,4560 Pratt Street,215-895-2474,Dean
lng45,Gitlin,Laura,N.,5/25/1952,Laura,She/Her/Hers,lng45@drexel.edu,Not Applicable,F,Married,Non Hispanic,White,235 Wyoming Avenue,235 Wyoming Avenue,215-895-3654,Dean
slw384,Walker,Sharon,L.,4/21/1960,Sharon,She/Her/Hers,slw384@drexel.edu,Not Applicable,F,Single,Non Hispanic,White,4013 Castor Avenue,230 Blane Street,215-895-2210,Dean
vm238,Madan,Vibhas,,12/4/1954,Vibhas,He/Him/His,vm238@drexel.edu,Not Applicable,M,Single,Non Hispanic,Other,512 Racket Street,512  Racket Street,215-895-2124,Dean
cbc39,Cairns,Charles,B.,10/18/1972,Charles,He/Him/His,cbc39@drexel.edu,Not Applicable,M,Divorced,Non Hispanic,White,680 Pine Street,680 Pine Street,215-762-3500,Dean
jss422,Schupbach,Jason ,,6/24/1978,Charles,He/Him/His,jss422@drexel.edu,Not Applicable,M,Single,Non Hispanic,White,882 Fletcher Road,882 Fletcher Road,215-762-3500,Dean
pmc49,Cohen,Paula,Marantz,7/30/1953,Paula,She/Her/Hers,pmc49@drexel.edu,Not Applicable,F,Married,Non Hispanic,White,211 Trat Street,5016 MacAlister Hall,215-895-1266,Dean
dmd33,de Carolis,Donna,,8/29/1955,Donna,She/Her/Hers,dmd33@drexel.edu,Not Applicable,F,Married,Non Hispanic,White,2018 Capper Avenue,2018 Capper Avenue,215-895-1795,Dean
avd37,Diez Roux,Ana,V.,6/1/1964,Ana,She/Her/Hers,avd37@drexel.edu,Not Applicable,F,Single,Non Hispanic,White,540 Frank Street,4017 Ontario Avenue,267-359-6070,Dean
dmf24,Filler,Daniel,M.,5/10/1958,Daniel,He/Him/His,dmf24@drexel.edu,Not Applicable,M,Married,Non Hispanic,White,410 Stoke Street,410 Stoke Street,215-571-4705,Dean
dpr83,Rose,Dan,P,4/21/1978,Dan,,dpr83@drexel.edu,Politics,,Seperated,Non Hispanic,Native,369 Ruth Avenue,369 Ruth Avenue,759-977-9209,Professor
bb401,Blair,Brittany,,3/16/1992,Brittany,,bb401@drexel.edu,English & Philosophy,,Widow,Non Hispanic,African American/Black,1 Portsmouth Road,1 Portsmouth Road,645-793-3433,Professor
cvc136,Cerrone,Christopher,V,3/3/1972,Christopher,,cvc136@drexel.edu,Politics,,Single,Non Hispanic,Native,6057 Griffith Avenue,6057 Griffith Avenue,949-785-4624,Professor
mjp24,Parent,Matthew,J,8/3/1957,Matthew,,mjp24@drexel.edu,Engineering Leadership and Society,,Divorced,Non Hispanic,Native,4981 Shirley Way,4981 Shirley Way,944-668-9042,Professor
dam74,Mauriello,Dave,A,9/10/1963,Dave,,dam74@drexel.edu,Communication,,Divorced,Non Hispanic,Native,31130 Meadowbrook Avenue,31130 Meadowbrook Avenue,730-268-7272,Professor
ccw11,Whitaker,craig,C,1/28/1987,craig,,ccw11@drexel.edu,Criminology & Justice Studies,,Widow,Hispanic or Latino,Native,2640 8th Avenue,954 Dowler Drive,937-833-2264,Professor
ada913,Aiken,Alexus,D,12/5/1965,Alexus,,ada913@drexel.edu,Chemistry,,Widow,Hispanic or Latino,White,12156 Oslo Drive,12156 Oslo Drive,615-527-4023,Professor
wlm35,Muto,William,L,9/11/1964,William,,wlm35@drexel.edu,Politics,,Married,Non Hispanic,Asian,20097 Butterfield Drive,20097 Butterfield Drive,627-724-1994,Professor
ej198,Joteva,Eli,,11/2/1953,Eli,,ej198@drexel.edu,Engineering Leadership and Society,,Widow,Hispanic or Latino,White,649 Praderia Circle,649 Praderia Circle,682-794-1937,Professor
apm48,Macneal,Alina,P,9/17/1988,Alina,,apm48@drexel.edu,Sociology,,Widow,Non Hispanic,White,30544 Whitmore Road,30544 Whitmore Road,836-446-7582,Professor
dec84,Coslett,Daniel,E,8/6/1963,Daniel,,dec84@drexel.edu,Physics,,Divorced,Hispanic or Latino,Asian,6100 Bullard Drive,6100 Bullard Drive,963-772-7724,Professor
kfj94,Jacobs,Ken,F,9/21/1961,Ken,,kfj94@drexel.edu,Criminology & Justice Studies,,Single,Non Hispanic,Asian,45430 Lauri Lane,45430 Lauri Lane,256-765-8069,Professor
dab79,Beker,David,A,4/4/1972,David,,dab79@drexel.edu,Physics,,Widow,Non Hispanic,Native,222 Quince Street,222 Quince Street,535-733-5766,Professor
jhj543,Jeffrey,Jennifer,Hofer,5/12/1955,Jennifer,,jhj543@drexel.edu,Sociology,,Widow,Hispanic or Latino,African American/Black,51035 Conifer Drive,51035 Conifer Drive,983-751-7552,Professor
ac621,Cha,Amy,,10/25/1951,Amy,,ac621@drexel.edu,"Biodiversity, Earth & Environmental Science",,Single,Non Hispanic,Asian,10400 Royal Oak Road,10400 Royal Oak Road,467-226-4254,Professor
jjs15,Smith,Jacobie,J,1/17/1990,Jacobie,,jjs15@drexel.edu,English & Philosophy,,Divorced,Non Hispanic,White,8934 Arrowrock Trail,8934 Arrowrock Trail,349-628-3908,Professor
ua588,Altenmueller-Lewis,Ulrike,,4/19/1984,Ulrike,,ua588@drexel.edu,English & Philosophy,,Seperated,Non Hispanic,Native,3027 Badger Drive,3027 Badger Drive,203-401-2438,Professor
pjs88,Salvaggio,Paul,J,8/4/1991,Paul,,pjs88@drexel.edu,Criminology & Justice Studies,,Divorced,Hispanic or Latino,White,42223 Edgewood Street,42223 Edgewood Street,728-952-6110,Professor
ev552,Victoria,Eugenia,,5/25/1961,Eugenia,,ev552@drexel.edu,Criminology & Justice Studies,,Single,Hispanic or Latino,Other,2531 Prestwick Avenue,2531 Prestwick Avenue,831-742-3397,Professor
jnn44,Niemiec,Jacklynn,N,10/26/1954,Jacklynn,,jnn44@drexel.edu,Sociology,,Married,Non Hispanic,White,2704 McGee Avenue,2704 McGee Avenue,468-839-6124,Professor
mer79,Rosensaft,Mia,E,7/3/1990,Mia,,mer79@drexel.edu,Politics,,Seperated,Hispanic or Latino,Other,4936 Sequoia Avenue,1061 Sumatra Street,902-859-8222,Professor
mac53,Chisholm,Mitchell,A,8/24/1995,Mitchell,,mac53@drexel.edu,Global Studies and Modern Languages,,Single,Hispanic or Latino,White,4500 Margalo Avenue,1820 Scenic Avenue,626-583-2701,Professor
ava63,Assetto,Anthony,V,4/16/1976,Anthony,,ava63@drexel.edu,"Biodiversity, Earth & Environmental Science",,Married,Non Hispanic,African American/Black,2443 Sierra Nevada Road,1226 Blossom Circle,212-559-3056,Professor
rar97,Rumburg,Rob,A,8/9/1968,Rob,,rar97@drexel.edu,"Biodiversity, Earth & Environmental Science",,Divorced,Hispanic or Latino,Other,4409 Star Jasmine Court,4253 San Juan Avenue,618-322-3196,Professor
ssp59,Patel,Samir,S,1/15/1987,Samir,,ssp59@drexel.edu,Criminology & Justice Studies,,Single,Non Hispanic,African American/Black,970 Old Oak Road,970 Old Oak Road,749-181-3737,Professor
dm795,Murray,David,,9/23/1990,David,,dm795@drexel.edu,Communication,,Seperated,Non Hispanic,Other,422 Richmond Street,1528 Stafford Avenue,371-532-5298,Professor
deb254,Brown,Daniel,E,10/28/1960,Daniel,,deb254@drexel.edu,Electrical and Computer Engineering,,Single,Non Hispanic,Asian,18687 County Road 97,281 MacArthur Boulevard,724-364-6974,Professor
jw963,Woodring,Jeremiah,,11/17/1982,Jeremiah,,jw963@drexel.edu,English & Philosophy,,Widow,Non Hispanic,Asian,55620 Jolon Road,55620 Jolon Road,588-649-8985,Professor
gef27,Foley,Georgeanna,E,12/1/1990,Georgeanna,,gef27@drexel.edu,Electrical and Computer Engineering,,Divorced,Hispanic or Latino,African American/Black,2632 Jackson Street East,461 Alder Street,585-105-8503,Professor
ajs78,Stadel,Alex,J,10/11/1994,Alex,,ajs78@drexel.edu,English & Philosophy,,Widow,Non Hispanic,Asian,7725 Ney Avenue,4971 Janet Court,761-753-1057,Professor
mro332,Odorizzi,Mark,R,1/10/1989,Mark,,mro332@drexel.edu,Psychological and Brain Sciences,,Widow,Non Hispanic,Asian,3189 Main Street,3189 Main Street,953-759-8488,Professor
air502,Rubendall,Alesa,I,6/23/1957,Alesa,,air502@drexel.edu,Engineering Leadership and Society,,Divorced,Hispanic or Latino,Native,3072 The Alameda,622 Thomas Street,517-199-4871,Professor
jwr90,Rowe,James,W,3/12/1970,James,,jwr90@drexel.edu,Criminology & Justice Studies,,Seperated,Non Hispanic,White,2035 Ninth Street,4738 Mallard Common,646-396-7834,Professor
rho38,Olaya,Rich,H,12/1/1970,Rich,,rho38@drexel.edu,Chemistry,,Single,Non Hispanic,Native,2750 Gilmore Lane,2750 Gilmore Lane,647-642-3077,Professor
am234,Martinez-Molina,Antonio,,11/14/1971,Antonio,,am234@drexel.edu,Chemistry,,Widow,Hispanic or Latino,African American/Black,1725 Oxford Street,1725 Oxford Street,673-289-5472,Professor
jdp72,Piscopo,James,D,3/27/1985,James,,jdp72@drexel.edu,English & Philosophy,,Widow,Non Hispanic,Native,201 Juniper Springs Drive,4409 Star Jasmine Court,380-181-6395,Professor
bm138,McGrath,Brendan,,5/7/1963,Brendan,,bm138@drexel.edu,Communication,,Married,Non Hispanic,Native,1532 Milvia Street,1532 Milvia Street,236-682-9499,Professor
cac352,Capaldi,Charles,A,2/12/1966,Charles,,cac352@drexel.edu,Biology,,Divorced,Non Hispanic,Native,19416 Barclay Road,210 Beachcomber Drive,417-371-9142,Professor
rmp21,Piasecki,Robert,M,4/4/1968,Robert,,rmp21@drexel.edu,Electrical and Computer Engineering,,Divorced,Non Hispanic,Native,1300 Lemos Lane,1300 Lemos Lane,649-281-7392,Professor
mry79,Ytterberg,Michael,R,5/9/1958,Michael,,mry79@drexel.edu,Global Studies and Modern Languages,,Widow,Non Hispanic,White,826 Webster Street,461 Alder Street,490-827-3187,Professor
wda85,Arendt,Wolfram,D,7/13/1981,Wolfram,,wda85@drexel.edu,Psychological and Brain Sciences,,Single,Non Hispanic,African American/Black,5396 North Reese Avenue,5396 North Reese Avenue,939-378-9606,Professor
uj703,Jung,Uk,,9/5/1987,Uk,,uj703@drexel.edu,"Biodiversity, Earth & Environmental Science",,Divorced,Non Hispanic,Asian,11522 Country Spring Court,11 Eclipse Court,262-399-9532,Professor
jta52,Austin,Jason,T,11/4/1959,Jason,,jta52@drexel.edu,Psychological and Brain Sciences,,Divorced,Non Hispanic,White,1238 Roanwood Way,1238 Roanwood Way,276-740-8010,Professor
sje20,Emory,Samuel,J,1/3/1973,Samuel,,sje20@drexel.edu,Biology,,Divorced,Non Hispanic,Other,835 Shiloh Court,835 Shiloh Court,246-594-3279,Professor
arb68,Bosse,Alexa,R,11/14/1986,Alexa,,arb68@drexel.edu,Chemical and Biological Engineering,,Widow,Non Hispanic,Asian,406 Ashwood Court,2511 Hearst Avenue,930-398-5248,Professor
dsn14,Nicholas,Dee,S,1/18/1963,Dee,,dsn14@drexel.edu,Global Studies and Modern Languages,,Widow,Hispanic or Latino,Asian,465 Humboldt Way,465 Humboldt Way,330-711-2837,Professor
nmf18,Feller-Johnson,Nicole,M,2/6/1980,Nicole,,nmf18@drexel.edu,Mechanical Engineering and Mechanics,,Widow,Non Hispanic,Native,26466 Mockingbird Lane,26466 Mockingbird Lane,845-925-8014,Professor
emk45,Krespan,Elise,M,8/26/1974,Elise,,emk45@drexel.edu,History,,Married,Hispanic or Latino,White,5938 Laguna Honda Street,5938 Laguna Honda Street,245-351-2932,Professor
dh748,Hood,David,,2/2/1959,David,,dh748@drexel.edu,Mechanical Engineering and Mechanics,,Divorced,Non Hispanic,White,22572 Toreador Drive,654 Laurette Place,800-363-4528,Professor
