date_of_birth,primary_department,annual_salary,job_title,drexel_id,drexel_id,full_name
5/28/1965,Mathematics,93841,Professor,aa117,aa117,Ali Afify
10/2/1975,Psychological and Brain Sciences,87195,Professor,aa365,aa365,Alexis Ayala
12/4/1982,Chemical and Biological Engineering,102354,Professor,aa925,aa925,Amelia A
6/21/1960,Engineering Leadership and Society,90445,Professor,aac64,aac64,Aqila Clement
3/13/1983,"""Civil",83526,Professor,aae237,aae237,Alison Evans
2/20/1951,Politics,95166,Payroll Administrator,aaf70,aaf70,Annie Foster
10/2/1978,Sociology,107859,Professor,aaf86,aaf86,Ashley Forsythe
1/9/1954,History,70937,Accountant,aaf867,aaf867,Adrian Faust
2/27/1972,Mathematics,111553,Professor,aah98,aah98,Ayana Handy
3/20/1965,Chemistry,99438,Professor,aak61,aak61,Allie King
1/8/1985,"""Civil",96470,Professor,aam118,aam118,Adelaida Medlock
12/1/1980,Electrical and Computer Engineering,107876,Adjunct Instructor,aam63,aam63,Alfred Mays
8/28/1984,Chemistry,67249,Research Coordinator,aam953,aam953,Annie Miyata
5/26/1994,Global Studies and Modern Languages,67727,Software Engineer,aao23,aao23,Anita Oneal
2/24/1955,Politics,108007,Professor,aaq88,aaq88,Alex Quistberg
5/17/1972,Global Studies and Modern Languages,82343,Professor,aar316,aar316,Anjelikal Rogers
2/7/1991,Chemical and Biological Engineering,85099,Professor,aar94,aar94,Albert Rundio
3/26/1966,Electrical and Computer Engineering,61992,Psychologist,aas91,aas91,Alberto Schepens
6/4/1961,Mathematics,89989,Professor,aas929,aas929,Alexandra Schmidt-Ullrich
3/26/1964,Engineering Leadership and Society,88308,Professor,ab275,ab275,Antonia Brown
3/17/1957,Materials Science and Engineering,101065,Professor,ab605,ab605,Avijit Banerjee
7/14/1959,English & Philosophy,98190,Professor,ab816,ab816,Amit Basu
7/21/1981,Criminology & Justice Studies,111311,Clinician,aba66,aba66,Anna Anderson
4/7/1992,"""Biodiversity",86283,Professor,abc94,abc94,Anthony Chatfield
10/22/1960,Global Studies and Modern Languages,87056,Professor,abe38,abe38,Andrew Eisenman
4/24/1965,Electrical and Computer Engineering,64243,Assistant Professor,abg12,abg12,Alice Gingrich
7/11/1957,English & Philosophy,88313,Professor,abg129,abg129,Ashley Gripper
6/18/1950,"""Civil",83875,Professor,abk40,abk40,Alison Katz
12/5/1985,Physics,85007,Senior Advisor,abr456,abr456,Angela Rohm
9/4/1966,Chemical and Biological Engineering,106859,Professor,abs10,abs10,Andrew Susskind
10/18/1989,Criminology & Justice Studies,110413,Senior Advisor,abs46,abs46,Adrian Savini
11/11/1956,"""Biodiversity",91876,Professor,ac196,ac196,Amy Carroll-Scott
12/11/1988,Criminology & Justice Studies,104152,Professor,ac545,ac545,Andrea Colfer
10/25/1951,"""Biodiversity",93258,Professor,ac621,ac621,Amy Cha
11/16/1957,Physics,101428,Professor,ac874,ac874,Aviel Chaimovich
6/28/1990,Electrical and Computer Engineering,88119,Professor,acc13,acc13,Anne Cecil
1/6/1969,Chemistry,91750,Professor,ace85,ace85,Alex Ezeh
10/14/1986,Mathematics,92327,Professor,acg30,acg30,Anthony Ginexi
7/25/1994,Global Studies and Modern Languages,87164,Professor,ach15,ach15,Alana Harbin
3/6/1962,,62784,Financial Aid Officer,ach34,ach34,Alejandra Haynes
9/16/1990,Engineering Leadership and Society,110163,Professor,ack70,ack70,Ash Karale
11/13/1992,Global Studies and Modern Languages,109874,Professor,ack826,ack826,Ann Klassen
6/6/1995,English & Philosophy,102459,Professor,acl15,acl15,Amanda Lough
10/23/1969,Physics,85931,Professor,acl67,acl67,Alan Lau
2/24/1981,Psychological and Brain Sciences,104706,Payroll Administrator,acm571,acm571,Anne Murphy
9/28/1970,Psychological and Brain Sciences,92497,Professor,acm81,acm81,Aaron Margolit
1/6/1954,"""Civil",67297,Accountant,acm91,acm91,Anita Mateo
11/8/1959,English & Philosophy,92963,Professor,acr945,acr945,Adam Rickert
3/6/1962,Global Studies and Modern Languages,39617,Event Services Specialist,acr96,acr96,Alfred Romie
7/2/1955,Mechanical Engineering and Mechanics,93724,Professor,acs36,acs36,Ashley Smith
