date_of_birth,living_address,is_communter,email,student_program_type,phone,home_address,majors,minors,annual_financial_aid_award,outstanding_balances,drexel_id,drexel_id,drexel_id,drexel_id,full_name
6/19/2003,"""325 N. 15th Street Philadelphia",0,aaa21@drexel.edu,Undergraduate,983-147-2561,"""325 N. 15th Street Philadelphia",Bachelor of Arts in Art History,,16200.0,66.61,aaa21,aaa21,aaa21,aaa21,Annette Andrea Alton
2/2/2000,"""3200 Chestnut Street Philadelphia",0,aaa65@drexel.edu,Undergraduate,433-196-2430,"""3200 Chestnut Street Philadelphia",Bachelor of Science in Business Administration in Business Economics (co-major),Minor in Writing,18600.0,19.29,aaa65,aaa65,aaa65,aaa65,Ashley Annette Adams
10/19/2001,38252 Farwell Drive,0,aaa658@drexel.edu,Undergraduate,582-410-2070,38252 Farwell Drive,Bachelor of Science in Hospitality Management in Hospitality Management,Minor in Nutrition,20000.0,95.93,aaa658,aaa658,aaa658,aaa658,Agnes Augustina Anthony
4/23/2004,3415 Brookdale Drive,0,aaa75@drexel.edu,Undergraduate,359-216-1062,3415 Brookdale Drive,Bachelor of Science in Education: Non-Certification,,18600.0,29.66,aaa75,aaa75,aaa75,aaa75,Alejandro Alexander Adams
11/5/2001,23501 Ida Lane,0,aab142@drexel.edu,Undergraduate,227-389-7574,23501 Ida Lane,Bachelor of Science in Westphal Studies Program,,20000.0,81.74,aab142,aab142,aab142,aab142,Angelica Audrey Borrego
12/4/2000,"""3300 Race Street Philadelphia",0,aab35@drexel.edu,Undergraduate,218-702-1563,"""3300 Race Street Philadelphia",Bachelor of Science in Business Administration in Sport Business,,18600.0,35.65,aab35,aab35,aab35,aab35,Alice Aida Beckwith
9/6/2004,3827 West Chapman Avenue,0,aab60@drexel.edu,Graduate,626-864-4444,3827 West Chapman Avenue,Master of Arts in Publishing,,20000.0,0.0,aab60,aab60,aab60,aab60,Amy Adriana Bergman
7/3/2002,"""3400 Lancaster Avenue Philadelphia",0,aab86@drexel.edu,Undergraduate,984-201-7086,"""3400 Lancaster Avenue Philadelphia",Bachelor of Arts in Entrepreneurship and Innovation,Minor in DragonsTeach Certification Minor,16200.0,0.0,aab86,aab86,aab86,aab86,Anthony Arturo Bauman
2/23/2004,3318 East Woodbine Road,0,aac32@drexel.edu,Undergraduate,310-124-1363,3318 East Woodbine Road,Bachelor of Science in Computer Science in Computer Science,,16200.0,96.14,aac32,aac32,aac32,aac32,Angela Anita Charleston
6/16/2002,129 Grant Street,0,aac66@drexel.edu,Undergraduate,712-589-6324,129 Grant Street,Bachelor of Science in Special Education (PK-12),,16200.0,13.03,aac66,aac66,aac66,aac66,Arturo Andrew Cody
2/15/2000,32512 Christine Drive,0,aac86@drexel.edu,Undergraduate,253-745-8935,32512 Christine Drive,Bachelor of Science in Photography,,18600.0,16.66,aac86,aac86,aac86,aac86,Audrey Alexandria Clay
10/3/2002,6420 Via Baron,0,aac881@drexel.edu,Undergraduate,778-579-5030,6420 Via Baron,Bachelor of Science in Geoscience,Minor in Politics,16200.0,0.0,aac881,aac881,aac881,aac881,Adolfo Alonzo Campos
9/25/2003,1234 Carmel Street,0,aaf224@drexel.edu,Graduate,367-268-1747,1234 Carmel Street,Master of Science in Television & Media Management,,20000.0,61.29,aaf224,aaf224,aaf224,aaf224,Allyson Alycia Frerichs
