drexelID,name,action,location,date,time
ajl359,Anna Lee,scanned in to,W. W. Hagerty Library,2021-02-21,17:48:55
rlg23,Rebecca Gallego,scanned in to,W. W. Hagerty Library,2021-02-21,18:22:11
baa12,Benjamin Andrews,scanned in to,W. W. Hagerty Library,2021-02-21,18:37:18
jpr41,Joanne Robinson,scanned in to,W. W. Hagerty Library,2021-02-21,19:54:02
kfs14,Kenneth Stenberg,scanned in to,W. W. Hagerty Library,2021-02-21,23:43:23
dmh56,Donald Hang,scanned in to,W. W. Hagerty Library,2021-02-22,02:08:11
lvt427,Lauren Thompson,scanned in to,W. W. Hagerty Library,2021-02-22,05:43:38
bcv578,Brett Vann,scanned in to,W. W. Hagerty Library,2021-02-22,07:25:07
str25,Samuel Ray,scanned in to,W. W. Hagerty Library,2021-02-22,10:03:37
sjz656,Sharon Zahler,scanned in to,W. W. Hagerty Library,2021-02-22,13:05:01
pcm12,Paula Mcgowan,scanned in to,W. W. Hagerty Library,2021-02-22,15:37:53
glg43,Geneva Giglio,scanned in to,W. W. Hagerty Library,2021-02-22,17:02:30
lmk88,Linda Kubat,scanned in to,W. W. Hagerty Library,2021-02-22,19:27:04
rjd94,Ralph David,scanned in to,W. W. Hagerty Library,2021-02-22,23:21:49
imm37,Irene Miller,scanned in to,W. W. Hagerty Library,2021-02-23,00:48:19
mwk56,Michael Kiser,scanned in to,W. W. Hagerty Library,2021-02-23,01:57:48
tne36,Todd Evans,scanned in to,W. W. Hagerty Library,2021-02-23,03:59:13
jcs46,John Sharp,scanned in to,W. W. Hagerty Library,2021-02-23,07:53:23
kch46,Karen Hoffarth,scanned in to,W. W. Hagerty Library,2021-02-23,11:19:54
fdd42,Frances Davis,scanned in to,W. W. Hagerty Library,2021-02-23,11:34:00
rrc36,Ruth Conrad,scanned in to,W. W. Hagerty Library,2021-02-23,12:58:01
krl12,Karen Lucas,scanned in to,W. W. Hagerty Library,2021-02-23,15:30:50
rem93,Ronald Moskovitz,scanned in to,W. W. Hagerty Library,2021-02-23,15:54:39
ekd36,Eugenia Davis,scanned in to,W. W. Hagerty Library,2021-02-23,17:24:50
mss11,Marcie Santiago,scanned in to,W. W. Hagerty Library,2021-02-23,21:18:23
rml50,Rhonda Lariviere,scanned in to,W. W. Hagerty Library,2021-02-24,00:12:58
srs56,Suzanne Spenser,scanned in to,W. W. Hagerty Library,2021-02-24,00:46:18
hks52,Harold Smith,scanned in to,W. W. Hagerty Library,2021-02-24,03:57:32
gsh134,Gail Harrington,scanned in to,W. W. Hagerty Library,2021-02-24,05:41:41
ndc31,Norman Campos,scanned in to,W. W. Hagerty Library,2021-02-24,07:08:23
kwe68,Kelly Espinoza,scanned in to,W. W. Hagerty Library,2021-02-24,10:24:13
tbp24,Tony Pisano,scanned in to,W. W. Hagerty Library,2021-02-24,12:05:55
rpp76,Robert Phillips,scanned in to,W. W. Hagerty Library,2021-02-24,12:49:05
sjw732,Steven White,scanned in to,W. W. Hagerty Library,2021-02-24,15:43:13
ljf30,Lynn Ferenz,scanned in to,W. W. Hagerty Library,2021-02-24,16:55:40
ama54,Anne Aylesworth,scanned in to,W. W. Hagerty Library,2021-02-24,18:37:16
jve93,Jada Epps,scanned in to,W. W. Hagerty Library,2021-02-24,19:45:43
mmk25,Mark Kimbrough,scanned in to,W. W. Hagerty Library,2021-02-24,20:43:22
dbf60,David Finney,scanned in to,W. W. Hagerty Library,2021-02-24,21:35:09
wbm31,Wanetta Malave,scanned in to,W. W. Hagerty Library,2021-02-24,23:19:36
jtk728,John Kirby,scanned in to,W. W. Hagerty Library,2021-02-25,02:02:01
mmr67,Mirna Rathbum,scanned in to,W. W. Hagerty Library,2021-02-25,05:08:06
atb26,Aaron Bryant,scanned in to,W. W. Hagerty Library,2021-02-25,07:57:34
drs21,Daniel Speight,scanned in to,W. W. Hagerty Library,2021-02-25,11:09:00
caw74,Cynthia Walker,scanned in to,W. W. Hagerty Library,2021-02-25,14:28:18
msh117,Maria Hawkes,scanned in to,W. W. Hagerty Library,2021-02-25,15:38:23
acf238,Antonette Fierst,scanned in to,W. W. Hagerty Library,2021-02-25,17:07:04
jlc47,Jeffrey Castellanos,scanned in to,W. W. Hagerty Library,2021-02-25,20:47:28
rdm925,Rita Mathis,scanned in to,W. W. Hagerty Library,2021-02-25,23:37:41
ycb45,Yolanda Bowman,scanned in to,W. W. Hagerty Library,2021-02-26,01:23:25
mss93,Marietta Strong,scanned in to,W. W. Hagerty Library,2021-02-26,04:55:33
lmm119,Lynn Magee,scanned in to,W. W. Hagerty Library,2021-02-26,06:07:44
cmc25,Christopher Chandler,scanned in to,W. W. Hagerty Library,2021-02-26,06:32:23
jdg13,John Gibbons,scanned in to,W. W. Hagerty Library,2021-02-26,10:29:21
adg964,Alice Groover,scanned in to,W. W. Hagerty Library,2021-02-26,13:38:17
lmk88,Linda Kubat,scanned in to,W. W. Hagerty Library,2021-02-26,14:39:43
psw20,Patricia Wingate,scanned in to,W. W. Hagerty Library,2021-02-26,18:10:19
snr561,Susan Rayford,scanned in to,W. W. Hagerty Library,2021-02-26,21:43:40
mjl40,Mary Loring,scanned in to,W. W. Hagerty Library,2021-02-26,23:34:35
jmj39,John Jones,scanned in to,W. W. Hagerty Library,2021-02-27,02:29:54
krm97,Kai Morrow,scanned in to,W. W. Hagerty Library,2021-02-27,04:06:03
ajh44,Andrew Hilliard,scanned in to,W. W. Hagerty Library,2021-02-27,05:15:30
mka70,Matthew Adams,scanned in to,W. W. Hagerty Library,2021-02-27,06:24:44
bpb66,Brenda Bedford,scanned in to,W. W. Hagerty Library,2021-02-27,08:28:39
vsd34,Vanessa Dermody,scanned in to,W. W. Hagerty Library,2021-02-27,09:51:53
wwv26,William Vaccaro,scanned in to,W. W. Hagerty Library,2021-02-27,12:10:44
idh61,Ignacio Hamilton,scanned in to,W. W. Hagerty Library,2021-02-27,15:06:47
scl60,Shelley Laporte,scanned in to,W. W. Hagerty Library,2021-02-27,15:41:20
