drexelID,name,action,location,date,time
eab97,Edwin Berry,scanned in to,Drexel Recreation Center,2021-03-11,02:25:05
cbl616,Cody Lee,scanned in to,Drexel Recreation Center,2021-03-11,03:21:39
acr89,Alejandro Ruel,scanned in to,Drexel Recreation Center,2021-03-11,04:24:46
dwh287,Daniel Hammond,scanned in to,Drexel Recreation Center,2021-03-11,04:29:51
rcj34,Richard Jones,scanned in to,Drexel Recreation Center,2021-03-11,06:49:49
lvs99,Lucille Shover,scanned in to,Drexel Recreation Center,2021-03-11,09:30:41
jdg28,Jose Green,scanned in to,Drexel Recreation Center,2021-03-11,12:03:58
sdl29,Samantha Lopez,scanned in to,Drexel Recreation Center,2021-03-11,12:59:21
kmp33,Kevin Pierce,scanned in to,Drexel Recreation Center,2021-03-11,15:15:59
rmr782,Renay Richard,scanned in to,Drexel Recreation Center,2021-03-11,16:42:16
akw36,Andre Ward,scanned in to,Drexel Recreation Center,2021-03-11,18:40:36
cwb23,Colin Brunson,scanned in to,Drexel Recreation Center,2021-03-11,19:43:41
aja526,Agnus Anderson,scanned in to,Drexel Recreation Center,2021-03-11,22:03:27
tmj796,Thomas Jackson,scanned in to,Drexel Recreation Center,2021-03-11,23:25:59
ajr27,Annabelle Rinderer,scanned in to,Drexel Recreation Center,2021-03-12,03:20:00
jeh92,Judy Hernandez,scanned in to,Drexel Recreation Center,2021-03-12,04:07:22
ssw81,Sandy Witmer,scanned in to,Drexel Recreation Center,2021-03-12,04:30:36
rsr18,Richard Rye,scanned in to,Drexel Recreation Center,2021-03-12,06:47:09
jls377,John Stemp,scanned in to,Drexel Recreation Center,2021-03-12,09:51:22
rfc96,Ricardo Carlozzi,scanned in to,Drexel Recreation Center,2021-03-12,10:12:05
ssc248,Shawn Carter,scanned in to,Drexel Recreation Center,2021-03-12,10:59:44
drs45,Deann Seiwell,scanned in to,Drexel Recreation Center,2021-03-12,14:36:17
jms25,Jack Sutton,scanned in to,Drexel Recreation Center,2021-03-12,17:08:43
alk19,Anna Kirk,scanned in to,Drexel Recreation Center,2021-03-12,19:03:48
sdb61,Sylvia Burris,scanned in to,Drexel Recreation Center,2021-03-12,20:13:13
rep802,Robert Persons,scanned in to,Drexel Recreation Center,2021-03-12,23:47:02
hvh95,Helen Hairr,scanned in to,Drexel Recreation Center,2021-03-13,00:55:07
pgr834,Paul Reagan,scanned in to,Drexel Recreation Center,2021-03-13,03:46:26
msl96,Michelle Leung,scanned in to,Drexel Recreation Center,2021-03-13,04:06:52
rlw415,Rosaline Weston,scanned in to,Drexel Recreation Center,2021-03-13,08:03:11
dsg62,Doris Garbacz,scanned in to,Drexel Recreation Center,2021-03-13,09:18:25
bpo43,Breana Odegard,scanned in to,Drexel Recreation Center,2021-03-13,10:56:46
shg73,Stephen Grant,scanned in to,Drexel Recreation Center,2021-03-13,11:11:35
sdw51,Stanley White,scanned in to,Drexel Recreation Center,2021-03-13,14:48:46
jas81,Juana Sandstrom,scanned in to,Drexel Recreation Center,2021-03-13,17:11:20
stw59,Sherry Wms,scanned in to,Drexel Recreation Center,2021-03-13,19:42:55
mrb13,Marcos Breiner,scanned in to,Drexel Recreation Center,2021-03-13,21:05:34
tjj71,Thomas Jones,scanned in to,Drexel Recreation Center,2021-03-13,21:39:35
mcg58,Majorie Garcia,scanned in to,Drexel Recreation Center,2021-03-13,23:21:08
bdm13,Bobby Melby,scanned in to,Drexel Recreation Center,2021-03-13,23:56:36
lch46,Lena Hodges,scanned in to,Drexel Recreation Center,2021-03-14,03:19:51
kkm49,Keri Mcwhorter,scanned in to,Drexel Recreation Center,2021-03-14,04:38:33
