drexelID,name,action,system,date,time
vnm903,Virginia Meaney,logged-in,Blackboard Learn,2021-01-26,15:13:49
mjd64,Marvin Duggan,accessed,Zoom,2021-01-26,17:39:52
ctw50,Christopher Willingham,logged-in,PuTTY,2021-01-26,19:21:36
dtf48,Donald Freeman,accessed,Zoom,2021-01-26,22:07:11
brl22,Byron Leyrer,logged-in,Blackboard Learn,2021-01-27,01:10:57
wbb475,William Boeke,logged-in,PuTTY,2021-01-27,02:16:07
sdc86,Steve Coleman,logged-in,PuTTY,2021-01-27,02:43:23
fmr47,Francisco Rodriguez,logged-in,Tux,2021-01-27,06:25:04
rjs565,Rory Salido,logged-in,McGraw-Hill Connect,2021-01-27,07:24:36
abc32,Annie Clark,logged-in,Degree Works,2021-01-27,08:26:25
eoh32,Edwardo Huggins,logged-in,Degree Works,2021-01-27,10:52:12
kec80,Kimberly Cahill,logged-in,McGraw-Hill Connect,2021-01-27,12:10:54
pjs96,Paul Still,accessed,Zoom,2021-01-27,15:27:37
pkc53,Paulette Crewe,logged-in,Tux,2021-01-27,18:55:05
rdj19,Renee Jefferson,logged-in,Tux,2021-01-27,22:01:32
mbk517,Marcus Key,logged-in,PuTTY,2021-01-27,22:24:58
wrl916,Walter Loveday,logged-in,Tux,2021-01-28,00:57:08
tnm57,Tyler Meehan,logged-in,PuTTY,2021-01-28,03:10:53
pte89,Peter Elmore,logged-in,McGraw-Hill Connect,2021-01-28,06:24:16
kdh67,Kirby Haase,logged-in,PuTTY,2021-01-28,09:48:52
gmg64,Gretchen Gassoway,logged-in,PuTTY,2021-01-28,12:00:00
kls18,Kevin Shepard,logged-in,Degree Works,2021-01-28,12:54:06
lco49,Lorina Ortiz,logged-in,McGraw-Hill Connect,2021-01-28,13:53:45
nlc56,Nancy Combs,logged-in,McGraw-Hill Connect,2021-01-28,17:24:48
mnw78,Margaret Waldon,logged-in,PuTTY,2021-01-28,17:29:57
mrb25,Mary Brown,logged-in,Degree Works,2021-01-28,18:38:42
mpm47,Milo Monti,logged-in,Tux,2021-01-28,19:52:22
mcm29,Mary Medeiros,logged-in,PuTTY,2021-01-28,22:53:54
jsl94,Jennifer Linder,accessed,Zoom,2021-01-28,23:33:51
sah30,Sandra Hollowell,logged-in,Degree Works,2021-01-29,01:58:29
gcb147,Grace Brandt,logged-in,PuTTY,2021-01-29,03:20:20
gcv649,Gerald Vaughn,logged-in,McGraw-Hill Connect,2021-01-29,05:50:46
dcc662,Danny Cole,logged-in,Tux,2021-01-29,06:33:58
jmk13,Jeffrey Koopman,logged-in,PuTTY,2021-01-29,08:25:30
mmr67,Mirna Rathbum,logged-in,Degree Works,2021-01-29,10:15:22
mjm435,Mui Matthews,logged-in,Tux,2021-01-29,13:28:04
ptj99,Paul Johnson,logged-in,Tux,2021-01-29,17:07:21
jjr79,John Rivera,logged-in,McGraw-Hill Connect,2021-01-29,18:23:16
kjs86,Kristen Sullivan,logged-in,Blackboard Learn,2021-01-29,19:58:45
sdh463,Susan Haugabrook,accessed,Zoom,2021-01-29,23:07:52
jjg37,Jennifer Green,logged-in,Tux,2021-01-29,23:52:22
cop649,Cheryl Porter,accessed,Zoom,2021-01-30,01:18:31
hvg44,Helga Goldston,accessed,Zoom,2021-01-30,01:53:48
sjg67,Sylvia Graff,logged-in,Degree Works,2021-01-30,05:26:30
wwv26,William Vaccaro,logged-in,Blackboard Learn,2021-01-30,07:08:11
llo18,Laurice Olson,logged-in,PuTTY,2021-01-30,08:42:07
rrp56,Robert Pinkleton,accessed,Zoom,2021-01-30,09:12:42
cch44,Christopher Hull,logged-in,Blackboard Learn,2021-01-30,11:00:49
jmd97,John Desimone,accessed,Zoom,2021-01-30,12:07:44
jmj366,Jill Jackson,logged-in,PuTTY,2021-01-30,15:09:14
rjw13,Raymond Westray,logged-in,Tux,2021-01-30,18:37:17
rrm83,Robert Mcbride,logged-in,Tux,2021-01-30,21:03:55
mjg48,Margie Garcia,logged-in,PuTTY,2021-01-30,23:22:27
