Drexel ID,Last Name,First Name,Middle Name,Date of Birth,Chosen Name,Personal Pronouns,Email,Department,Gender,Marital Status,Ethnicity,Race,Living Address,Mailing Address,Phone Number,Role
djv23,Velinsky,David,,1/24/1973,David,He/Him/His,djv23@drexel.edu,"Biodiversity, Earth & Environmental Science",M,Single,Non Hispanic,White,123 Main St,123 Main St,215-571-4651,Department Head
mkg62,Gonder,Mary,Katherine,2/10/1980,Mary,She/Her/Hers,mkg62@drexel.edu,Biology,F,Married,Non Hispanic,White,868 Lookout Street,868 Lookout Street,215-895-2788,Department Head
jpf26,Foley,Joe,,4/13/1985,Joe,He/Him/His,jpf262@drexel.edu,Chemistry,M,Divorced,Non Hispanic,White,64 San Juan Street,360 Mayfield Lane,215-895-2639,Department Head
rjk72,Kane,Robert,,7/19/1964,Robert,He/Him/His,rjk72@drexel.edu,Criminology & Justice Studies,M,Married,Non Hispanic,Other,992 Church Lane,992 Church Lane,215-571-4628,Department Head
jrk353,Kurtz,Roger,,9/2/1976,Roger,He/Him/His,jrk353@drexel.edu,English & Philosophy,M,Single,Non Hispanic,Native,36 Pearl Road,36 Pearl Road,215-895-6911,Department Head
rac52,Clothey,Rebecca,,3/14/1989,Rebecca,She/Her/Hers,rac52@drexel.edu,Global Studies and Modern Languages,F,Married,Hispanic or Latino,White,81 Windfall Street,81 Windfall Street,215-895-1208,Department Head
tfs37,Saraiva,Tiago,,5/11/1982,Tiago,He/Him/His,tfs37@drexel.edu,History,M,Seperated,Hispanic or Latino,White,850 South Peninsula Street,8344 Lawrence Drive,	215-895-2463,Department Head
bpd36,Daly,Brian,,4/2/1972,Brian,He/Him/His,bpd36@drexel.edu,Psychological and Brain Sciences,M,Single,Hispanic or Latino,White,222 Harvey Lane,222 Harvey Lane,215-895-1895,Department Head
spw26,Weber,Steven,,11/25/1963,Steven,He/Him/His,spw26@drexel.edu,Electrical and Computer Engineering,M,Married,Non Hispanic,Other,7118 Rockwell Street,7118 Rockwell Street,215-895-2241,Department Head
jes53,Spanier,Jonathan,E.,8/29/1975,Jonathan,He/Him/His,jes53@drexel.edu,Mechanical Engineering and Mechanics,M,Married,Non Hispanic,White,7013 Arrowhead Street,12 Hilltop Drive,215-895-2352,Department Head
dpr55,Rose,Dan,P,4/16/1954,Dan,,dpr55@drexel.edu,Engineering Leadership and Society,,Married,Hispanic or Latino,White,26334 Adrian Avenue,7237 Wild Currant Way,227-675-6463,Professor
bb118,Blair,Brittany,,3/5/1982,Brittany,,bb118@drexel.edu,Chemistry,,Married,Non Hispanic,Asian,11150 Sun Valley Drive,37675 Fremont Boulevard,648-994-3831,Professor
cvc34,Cerrone,Christopher,V,3/8/1960,Christopher,,cvc34@drexel.edu,Communication,,Seperated,Hispanic or Latino,Asian,1 Kelton Court,1 Kelton Court,421-374-4152,Professor
mjp84,Parent,Matthew,J,7/23/1991,Matthew,,mjp84@drexel.edu,"Biodiversity, Earth & Environmental Science",,Married,Non Hispanic,Native,36043 Soapberry Commons,36043 Soapberry Commons,233-476-2437,Professor
dam84,Mauriello,Dave,A,7/1/1968,Dave,,dam84@drexel.edu,History,,Divorced,Non Hispanic,White,3318 East Woodbine Road,37675 Fremont Boulevard,562-735-9117,Professor
ccw848,Whitaker,craig,C,9/22/1971,craig,,ccw848@drexel.edu,Engineering Leadership and Society,,Seperated,Hispanic or Latino,White,310 12th Avenue,330 Michell Court,539-838-4961,Professor
ada42,Aiken,Alexus,D,8/21/1981,Alexus,,ada42@drexel.edu,"Biodiversity, Earth & Environmental Science",,Divorced,Non Hispanic,Asian,4253 San Juan Avenue,4253 San Juan Avenue,796-473-7014,Professor
wlm59,Muto,William,L,11/16/1959,William,,wlm59@drexel.edu,Materials Science and Engineering,,Divorced,Non Hispanic,Other,40700 Penn Lane,565 Amber Isle,396-526-8827,Professor
ej417,Joteva,Eli,,2/23/1972,Eli,,ej417@drexel.edu,History,,Divorced,Non Hispanic,Native,15267 Hesperian Boulevard,15267 Hesperian Boulevard,736-553-7347,Professor
apm52,Macneal,Alina,P,7/23/1956,Alina,,apm52@drexel.edu,Communication,,Married,Non Hispanic,Other,25800 Industrial Boulevard,800 California 116,664-773-2703,Professor
dec68,Coslett,Daniel,E,9/10/1960,Daniel,,dec68@drexel.edu,Electrical and Computer Engineering,,Single,Non Hispanic,Native,2409 Park Street,441 Merritt Avenue,974-414-2483,Professor
kfj72,Jacobs,Ken,F,11/2/1972,Ken,,kfj72@drexel.edu,Sociology,,Divorced,Hispanic or Latino,Other,439 Crestmont Drive,439 Crestmont Drive,297-131-4104,Professor
dab367,Beker,David,A,5/24/1984,David,,dab367@drexel.edu,Global Studies and Modern Languages,,Married,Hispanic or Latino,White,4981 Shirley Way,1106 Mission Drive,878-502-8628,Professor
jhj29,Jeffrey,Jennifer,Hofer,7/26/1952,Jennifer,,jhj29@drexel.edu,Sociology,,Married,Non Hispanic,African American/Black,18687 County Road 97,18687 County Road 97,445-639-6949,Professor
ac558,Cha,Amy,,12/27/1961,Amy,,ac558@drexel.edu,"Civil, Architectural and Environmental Engineering",,Married,Non Hispanic,Other,1222 Arcade Boulevard,1222 Arcade Boulevard,265-292-1638,Professor
jjs83,Smith,Jacobie,J,2/1/1969,Jacobie,,jjs83@drexel.edu,History,,Seperated,Non Hispanic,Asian,2035 Ninth Street,2035 Ninth Street,622-957-8072,Professor
ua195,Altenmueller-Lewis,Ulrike,,11/7/1959,Ulrike,,ua195@drexel.edu,Sociology,,Single,Hispanic or Latino,Other,2835 Jed Road,2835 Jed Road,967-946-2139,Professor
pjs11,Salvaggio,Paul,J,5/2/1993,Paul,,pjs11@drexel.edu,Global Studies and Modern Languages,,Married,Non Hispanic,African American/Black,1383 Purdue Street,12156 Oslo Drive,408-521-6585,Professor
ev467,Victoria,Eugenia,,10/3/1971,Eugenia,,ev467@drexel.edu,Engineering Leadership and Society,,Seperated,Non Hispanic,Native,1314 89th Avenue,1314 89th Avenue,459-125-5420,Professor
jnn154,Niemiec,Jacklynn,N,4/27/1968,Jacklynn,,jnn154@drexel.edu,Politics,,Divorced,Non Hispanic,Asian,23501 Ida Lane,23501 Ida Lane,955-160-1926,Professor
mer42,Rosensaft,Mia,E,3/15/1960,Mia,,mer42@drexel.edu,Psychological and Brain Sciences,,Divorced,Non Hispanic,Asian,46710 Crawford Street,46710 Crawford Street,703-488-1674,Professor
mac58,Chisholm,Mitchell,A,7/28/1964,Mitchell,,mac58@drexel.edu,Psychological and Brain Sciences,,Single,Hispanic or Latino,Other,1219 Carleton Street,5732 Jean Drive,893-236-8676,Professor
ava31,Assetto,Anthony,V,10/9/1994,Anthony,,ava31@drexel.edu,Chemistry,,Widow,Non Hispanic,White,5410 McLean Drive,5410 McLean Drive,485-861-6546,Professor
rar85,Rumburg,Rob,A,7/23/1976,Rob,,rar85@drexel.edu,Physics,,Seperated,Non Hispanic,Native,15557 Sutter Creek Road,15557 Sutter Creek Road,200-728-1733,Professor
ssp47,Patel,Samir,S,12/14/1985,Samir,,ssp47@drexel.edu,Materials Science and Engineering,,Seperated,Non Hispanic,African American/Black,29104 Quartz Lane,29104 Quartz Lane,356-301-7373,Professor
dm978,Murray,David,,6/4/1985,David,,dm978@drexel.edu,Materials Science and Engineering,,Single,Non Hispanic,African American/Black,35805 Alcazar Court,35805 Alcazar Court,248-410-2373,Professor
deb59,Brown,Daniel,E,9/22/1958,Daniel,,deb59@drexel.edu,Biology,,Widow,Hispanic or Latino,Other,11522 Country Spring Court,11522 Country Spring Court,496-225-5744,Professor
jw488,Woodring,Jeremiah,,11/22/1994,Jeremiah,,jw488@drexel.edu,Electrical and Computer Engineering,,Divorced,Non Hispanic,Other,24647 Patricia Court,24647 Patricia Court,399-583-2846,Professor
gef86,Foley,Georgeanna,E,7/5/1980,Georgeanna,,gef86@drexel.edu,Global Studies and Modern Languages,,Single,Hispanic or Latino,White,22538 6th Street,10400 Royal Oak Road,984-323-3565,Professor
ajs64,Stadel,Alex,J,2/19/1963,Alex,,ajs64@drexel.edu,Chemistry,,Seperated,Non Hispanic,White,328 17th Street,328 17th Street,909-734-2946,Professor
mro51,Odorizzi,Mark,R,8/24/1979,Mark,,mro51@drexel.edu,Chemistry,,Married,Hispanic or Latino,African American/Black,6148 Avon Avenue,6148 Avon Avenue,422-875-1440,Professor
air82,Rubendall,Alesa,I,10/5/1977,Alesa,,air82@drexel.edu,Physics,,Widow,Non Hispanic,Asian,30451 Servilla Place,4493 Heath Circle,479-769-9385,Professor
jwr80,Rowe,James,W,4/23/1983,James,,jwr80@drexel.edu,Psychological and Brain Sciences,,Married,Hispanic or Latino,Other,369 Ruth Avenue,1532 Milvia Street,743-904-5231,Professor
rho19,Olaya,Rich,H,8/27/1963,Rich,,rho19@drexel.edu,History,,Widow,Non Hispanic,Asian,10841 Sutter Circle,928 Wright Avenue,438-699-9657,Professor
am328,Martinez-Molina,Antonio,,7/21/1995,Antonio,,am328@drexel.edu,Global Studies and Modern Languages,,Seperated,Hispanic or Latino,White,4971 Janet Court,918 Cheryl Ann Circle,939-249-3167,Professor
jdp14,Piscopo,James,D,6/15/1968,James,,jdp14@drexel.edu,Sociology,,Divorced,Hispanic or Latino,Asian,1314 89th Avenue,1314 89th Avenue,613-123-6989,Professor
bm121,McGrath,Brendan,,8/28/1989,Brendan,,bm121@drexel.edu,Criminology & Justice Studies,,Seperated,Hispanic or Latino,White,5410 McLean Drive,5410 McLean Drive,919-500-6527,Professor
cac51,Capaldi,Charles,A,10/9/1956,Charles,,cac51@drexel.edu,Sociology,,Widow,Non Hispanic,Native,1238 Roanwood Way,1238 Roanwood Way,668-547-3382,Professor
rmp79,Piasecki,Robert,M,8/5/1953,Robert,,rmp79@drexel.edu,Sociology,,Single,Non Hispanic,African American/Black,5472 Sunstar Common,5472 Sunstar Common,453-949-2549,Professor
mry87,Ytterberg,Michael,R,4/18/1953,Michael,,mry87@drexel.edu,History,,Widow,Hispanic or Latino,African American/Black,2400 Easy Street,1106 Mission Drive,803-473-9199,Professor
wda851,Arendt,Wolfram,D,9/21/1982,Wolfram,,wda851@drexel.edu,Engineering Leadership and Society,,Widow,Non Hispanic,Other,310 12th Avenue,310 12th Avenue,327-345-9450,Professor
uj775,Jung,Uk,,5/6/1953,Uk,,uj775@drexel.edu,Criminology & Justice Studies,,Widow,Non Hispanic,Other,5805 Armada Drive,3600 Pennsylvania Avenue,355-964-8488,Professor
jta393,Austin,Jason,T,4/4/1965,Jason,,jta393@drexel.edu,Engineering Leadership and Society,,Divorced,Non Hispanic,White,32512 Christine Drive,32512 Christine Drive,486-751-5311,Professor
sje487,Emory,Samuel,J,8/13/1992,Samuel,,sje487@drexel.edu,Global Studies and Modern Languages,,Married,Non Hispanic,African American/Black,46710 Crawford Street,46710 Crawford Street,798-738-1964,Professor
arb96,Bosse,Alexa,R,2/8/1954,Alexa,,arb96@drexel.edu,Communication,,Divorced,Hispanic or Latino,Other,16910 Alpine Drive,16910 Alpine Drive,399-700-5249,Professor
dsn90,Nicholas,Dee,S,7/19/1967,Dee,,dsn90@drexel.edu,Mathematics,,Widow,Non Hispanic,Asian,1761 Thousand Oaks Boulevard,1761 Thousand Oaks Boulevard,729-628-3539,Professor
emk843,Krespan,Elise,M,2/13/1956,Elise,,emk843@drexel.edu,"Biodiversity, Earth & Environmental Science",,Seperated,Hispanic or Latino,Other,6420 Via Baron,6420 Via Baron,456-226-3893,Professor
nmf88,Feller-Johnson,Nicole,M,6/1/1950,Nicole,,nmf88@drexel.edu,Sociology,,Single,Non Hispanic,Asian,46710 Crawford Street,46710 Crawford Street,757-540-2208,Professor
dh892,Hood,David,,6/24/1983,David,,dh892@drexel.edu,"Biodiversity, Earth & Environmental Science",,Widow,Non Hispanic,African American/Black,4253 San Juan Avenue,4253 San Juan Avenue,982-510-8537,Professor
ad328,Dobshinsky,Andrew,,6/1/1980,Andrew,,ad328@drexel.edu,Psychological and Brain Sciences,,Seperated,Non Hispanic,Other,5264 Shafter Avenue,5264 Shafter Avenue,428-189-6038,Professor
mr591,Ramaswami,Murali,,9/11/1980,Murali,,mr591@drexel.edu,Global Studies and Modern Languages,,Widow,Hispanic or Latino,Other,461 Alder Street,1820 Scenic Avenue,395-173-8396,Professor
tpk736,Kirchner,Thomas,P,1/28/1986,Thomas,,tpk736@drexel.edu,Biology,,Single,Hispanic or Latino,White,46710 Crawford Street,2443 Sierra Nevada Road,875-538-9047,Professor
sc656,Cantando,Stephen,,12/2/1961,Stephen,,sc656@drexel.edu,History,,Seperated,Non Hispanic,Other,14285 Wycliff Way,14285 Wycliff Way,348-829-3097,Professor
ja928,Aitken,Joanne,,9/18/1992,Joanne,,ja928@drexel.edu,Engineering Leadership and Society,,Single,Non Hispanic,Native,3189 Main Street,3189 Main Street,497-160-9851,Professor
kfv72,Vresilovic,Kelly,F,3/21/1973,Kelly,,kfv72@drexel.edu,Chemical and Biological Engineering,,Single,Hispanic or Latino,Other,90 Via Verde,90 Via Verde,221-126-5157,Professor
cgb58,Broh,Catherine,G,4/12/1973,Catherine,,cgb58@drexel.edu,Electrical and Computer Engineering,,Widow,Non Hispanic,Other,29 Vista Flores,29 Vista Flores,813-615-9671,Professor
jtd81,Defazio,John,T,3/17/1985,John,,jtd81@drexel.edu,Chemical and Biological Engineering,,Married,Non Hispanic,African American/Black,20375 Wisteria Street,314 Mesa Street,417-714-6127,Professor
dmj305,Jones,Don,M,4/21/1958,Don,,dmj305@drexel.edu,Materials Science and Engineering,,Single,Non Hispanic,Other,1870 A Street,6452 El Camino Real,812-630-2151,Professor
rk217,King,Richard,,1/26/1989,Richard,,rk217@drexel.edu,Sociology,,Married,Non Hispanic,White,1013 Balboa Avenue,3318 East Woodbine Road,559-777-8251,Professor
jfk47,Krieger,Jeffrey,F,11/28/1976,Jeffrey,,jfk47@drexel.edu,Psychological and Brain Sciences,,Single,Non Hispanic,Asian,1987 Boxer Court,826 Webster Street,729-845-8712,Professor
ren961,Nalls,Robert,E,5/15/1953,Robert,,ren961@drexel.edu,Communication,,Married,Non Hispanic,African American/Black,4329 Howe Street,4329 Howe Street,204-438-2336,Professor
