Drexel ID,First Name,Middle Name,Last Name,Major,Minor
kjj26,Kevin,John,Jamerson,Master of Science in Cybersecurity,Minor in Accounting
eit15,Emmanuel,Israel,Townsand,Bachelor of Science in Exercise Science,Minor in Linguistics
dna98,Daphne,Nicole,Ayala,Bachelor of Science in Game Design & Production,Minor in Justice Studies
egm14,Elizabeth,Graciela,Martin,"Master of Science in Quality, Safety and Risk Management in Health Care",Minor in Data Science
lag91,Lorna,Amanda,Garcia,Bachelor of Science in Business Administration in Business Administration,
trt16,Tyson,Ryan,Thomas,Bachelor of Arts in Economics in Economic Analysis,
lbd14,Lindsey,Barbara,Davis,Bachelor of Science in Nutrition and Foods,
kls18,Kevin,Lawrence,Shepard,Bachelor of Science in Materials Science and Engineering in Materials Science and Engineering,
lmh234,Leslie,Marvin,Helm,Bachelor of Arts in Entrepreneurship & Innovation 3-year Option,Minor in Politics
lms44,Larry,Michael,Smith,Bachelor of Science in Business Administration in Business (General),
tdf339,Troy,Dennis,Fee,Bachelor of Science in Business Administration in General Business,
jrk48,James,Richard,Keyes,Bachelor of Science in Business Administration in Business Administration,
lpt99,Logan,Philip,Trotta,Bachelor of Science in Public Health,
pbd71,Pauline,Beatrice,Digeorgio,Bachelor of Science in Chemistry-Biochemistry Concentration,
pso84,Paul,Samuel,Olson,Master of Science in Professional Studies,Minor in Nonprofit Communication
jet30,Juan,Edward,Trivedi,Bachelor of Science in Photography,
mrl26,Michael,Richard,Loffelbein,Doctor of Philosophy in Physics,
iwb301,Ian,William,Bellocchio,Doctor of Philosophy in Computer Science,
ltw71,Lester,Terry,Woodard,Bachelor of Science in Environmental Science,
mtm81,Matthew,Troy,Martin,Doctor of Education in Educational Leadership and Management,
ggh659,George,Gregory,Houghtaling,Master of Science in Economics &amp; Computer Science in Economics and Computer Science,Minor in Information Systems
kar39,Katherine,Ann,Robinson,"Doctor of Philosophy in Biomedical Engineering (PhD: School of Biomedical Engineering, Science and Health Systems)",Minor in Business Administration
sta20,Silas,Todd,Adkins,Bachelor of Arts in Mathematics,
epc91,Elizabeth,Peggy,Cole,Bachelor of Science in Mechanical Engineering in Mechanical Engineering & Mechanics,Minor in Behavioral Economics and Business
gjm47,George,Jesus,Mcgraw,Bachelor of Science in Digital Media and Virtual Production,
rdk25,Ruth,Donna,Koppenhaver,Bachelor of Science in Behavioral Health Counseling,
bmd577,Brett,Michael,Dixon,Master of Laws in Trial Advocacy and Dispute Resolution,Minor in Accounting
src32,Sylvia,Ruby,Crary,Bachelor of Science in Hospitality Management in Hospitality Management,
lcj97,Leola,Colleen,Jarrett,Master of Science in Creative Education and Entrepreneurship,
rsc539,Robert,Steven,Clark,Bachelor of Science in Behavioral Health Counseling,Minor in Biological Sciences
cbf23,Casandra,Barbara,Floer,Bachelor of Science in Game Design & Production,Minor in Playwriting
rrj80,Randal,Randy,Johnson,Bachelor of Science in Fashion Design,
ljd69,Leanna,Jessie,Davis,program_name,
egw70,Elaine,Gabrielle,Wiseman,Bachelor of Science in Environmental Science,
abf19,Angela,Beth,Figueroa,Bachelor of Science in Biomedical Engineering in Biomedical Engineering,
kjs86,Kristen,Jacqueline,Sullivan,Bachelor of Science in Architectural Engineering in Architectural Engineering,Minor in Mathematics
tcb74,Tammy,Callie,Berland,Bachelor of Science in Product Design,Minor in Merchandising
jwb19,Jason,William,Batdorf,program_name,Minor in Green Energy and Sustainability
kar93,Karen,Amy,Rodriguez,Bachelor of Science in Graphic Design,Minor in Writing
mjg24,Michael,James,Gunn,Master of Science in Economics &amp; Computer Science in Economics and Computer Science,Minor in Finance
trs235,Timothy,Rodney,Shattuck,Bachelor of Science in Dance - Part-time Professional,
cbh12,Charles,Benjamin,Hatch,Bachelor of Science in Chemistry,
psj78,Patrick,Sterling,Jones,Bachelor of Science in Photography,
dml197,David,Michael,Lerner,Bachelor of Science in Business Administration in Business Administration,
lws482,Luis,William,Santiago,Bachelor of Science in Computing and Security Technology in Computing and Security Technology,Minor in DragonsTeach Math Certification Minor
wft71,William,Frederick,Tucker,Bachelor of Science in Software Engineering in Software Engineering,
esb54,Elva,Susan,Bryant,Bachelor of Science in Business Administration in Business Administration,
rlf92,Roger,Louis,French,Master of Science in Robotics and Autonomy,
jtt345,John,Thomas,Toney,Bachelor of Science in Data Science in Data Science,Minor in Military Science
jff60,John,Frederick,Flowers,Bachelor of Science in General Studies,Minor in Nutrition
bmj57,Bertha,Margo,Jacobs,Master of Science in Sport Coaching Leadership,
tld54,Tanya,Lois,Dikes,Doctor of Philosophy in Couple and Family Therapy,
fgp10,Florida,Gabriele,Pimenta,Master of Science in Applied Behavior Analysis and Special Education,
mwk93,Melvin,Wilson,Kissinger,Bachelor of Science in Dance - Part-time Professional,Minor in Physics
gnl29,Gary,Nathaniel,Langerman,Master of Science in Mechanical Engineering and Mechanics,
gls92,Gloria,Linda,Schoonmaker,Bachelor of Science in Software Engineering in Software Engineering,
ass32,Antonia,Sonya,Smothers,Master of Science in Learning Technologies,Minor in Economics
bln60,Bryan,Leslie,Nickson,Master of Public Health in Epidemiology,
jlm23,Juan,Larry,Meyers,Bachelor of Science in Business Administration in Business Economics (co-major),Minor in Corporate Entrepreneurship
cah98,Clarence,Andre,Holland,Master of Science in Public Policy,
mcf853,Monica,Carol,Falk,Bachelor of Arts in Law,
aeb502,Abby,Edna,Brown,Master of Science in Biomedicine and Entrepreneurship,
abc17,Annie,Brenda,Childress,Bachelor of Science in Engineering Technology in Engineering Technology,
yjg81,Yolande,Janice,Goldsmith,Master of Family Therapy in Family Therapy,Minor in User Experience and Interaction Design
njc14,Noah,James,Carpenter,"Bachelor of Science in Learning Sciences, Experience Design, and Technology",
cbm91,Cameron,Bruce,Merrifield,Master of Science in Immunology,
htm13,Henry,Thad,Mccaffrey,"Bachelor of Arts in Philosophy, Politics and Economics",Minor in Linguistics
wcs20,Wilfred,Christopher,Saad,Bachelor of Science in Business Administration in Real Estate Management and Development,Minor in International Economics
vmo231,Vicki,Miranda,Oroark,Bachelor of Science in Photography,
ejb65,Elizabeth,Jamie,Blandford,"Bachelor of Science in Behavioral Economics, Business and Organizations",Minor in Legal Studies
gjc952,George,Jonathan,Cooper,Master of Science in Design Research in Design Research,
tms12,Todd,Marion,Smith,Bachelor of Arts in Global Studies,Minor in Sustainability in the Built Environment
lkh53,Lisa,Kathy,Hayes,Bachelor of Science in Screenwriting and Playwriting,
dtm30,Danielle,Toby,Mertes,Doctor of Physical Therapy in Physical Therapy,Minor in Neuroscience
mlh58,Mary,Lisa,Huber,Bachelor of Science in Business Administration in Business Administration,Minor in Global Engineering
rjg599,Robert,Jim,Grate,Bachelor of Science in Education: Non-Certification,
mac35,Mohamed,Andrew,Clayton,"Bachelor of Arts in English, Secondary Education Concentration",
jjr412,Julian,James,Roberts,Bachelor of Science in Digital Media and Virtual Production,
ajm39,Alfred,Joseph,Munroe,Master of Science in Nursing (MSN) and Master of Science in Business Administration in Nursing Leadership in Health Systems Management (MSN) / Business Administration,Minor in Culinary Arts
blp48,Brian,Leonard,Perry,Bachelor of Science in Business Administration in Legal Studies,
hrm838,Harvey,Robert,Murphy,Bachelor of Science in Dance - Part-time Professional,
fjw32,Frank,Jose,Wasserman,Bachelor of Science in Architectural Studies,
rvw10,Rachel,Vicki,Wood,Bachelor of Science in Business Administration in Legal Studies,
lmc423,Lewis,Matthew,Conrad,Bachelor of Science in Digital Media and Virtual Production,
emt82,Evan,Michael,Thomas,"Bachelor of Science in Learning Sciences, Experience Design, and Technology",
mjg38,Michael,Juan,Grimm,Bachelor of Arts in Environmental Studies and Sustainability,Minor in Artificial Intelligence and Learning
jjr96,Jimmy,John,Rodriguez,Master of Fine Arts in Creative Writing,
jlt30,Justa,Linda,Torkelson,Bachelor of Science in Film & Television,Minor in Engineering Management
mrt48,Mellissa,Ruby,Turcotte,"Bachelor of Arts in English, Literary Studies Concentration",
cek89,Carolyn,Elizabeth,Kinnan,Master of Science in Computer Engineering,Minor in Chemistry
bbw73,Bridgett,Beulah,Wilson,Bachelor of Science in Product Design,
sdw51,Stanley,Douglas,White,program_name,
maj10,Melvin,Alexander,Jenkins,Bachelor of Science in Photography,Minor in Food Science
eab84,Emma,Alice,Ballard,Bachelor of Arts in Mathematics,
dsl28,David,Steven,Leath,Master of Science in Television & Media Management,
nba90,Natasha,Brenda,Agrela,Doctor of Philosophy in Community Health and Prevention,Minor in Virtual Reality & Immersive Media
jdh99,Jean,David,Hader,Bachelor of Science in Computer Engineering in Computer Engineering,
hdf78,Heather,Dolores,Foss,Bachelor of Science in Behavioral Health Counseling,Minor in Interdisciplinary Problem Solving
